href,text
https://www.olympedia.org/results/19006314,"Kayak Singles, Slalom, Men"
https://www.olympedia.org/results/19006320,"Canadian Singles, Slalom, Men"
https://www.olympedia.org/results/19006326,"Kayak Singles, Slalom, Women"
https://www.olympedia.org/results/19006332,"Canadian Singles, Slalom, Women"
https://www.olympedia.org/editions/61/sports/CSP,Canoe Sprint
https://www.olympedia.org/results/19016100,"Kayak Singles, 200 metres, Men"
https://www.olympedia.org/results/19016119,"Kayak Singles, 1,000 metres, Men"
https://www.olympedia.org/results/19016138,"Kayak Doubles, 1,000 metres, Men"
https://www.olympedia.org/results/19016157,"Kayak Fours, 500 metres, Men"
https://www.olympedia.org/results/19016169,"Canadian Singles, 1,000 metres, Men"
https://www.olympedia.org/results/19016188,"Canadian Doubles, 1,000 metres, Men"
https://www.olympedia.org/results/19016207,"Kayak Singles, 200 metres, Women"
https://www.olympedia.org/results/19016226,"Kayak Singles, 500 metres, Women"
https://www.olympedia.org/results/19016245,"Kayak Doubles, 500 metres, Women"
https://www.olympedia.org/results/19016264,"Kayak Fours, 500 metres, Women"
https://www.olympedia.org/results/19016276,"Canadian Singles, 200 metres, Women"
https://www.olympedia.org/results/19016295,"Canadian Doubles, 500 metres, Women"
https://www.olympedia.org/editions/61/sports/BMF,Cycling BMX Freestyle
https://www.olympedia.org/results/18000080,"Park, Men"
https://www.olympedia.org/results/18000087,"Park, Women"
https://www.olympedia.org/editions/61/sports/BMX,Cycling BMX Racing
https://www.olympedia.org/results/19001870,"BMX, Men"
https://www.olympedia.org/results/19001895,"BMX, Women"
https://www.olympedia.org/editions/61/sports/MTB,Cycling Mountain Bike
https://www.olympedia.org/results/19001704,"Cross-Country, Men"
https://www.olympedia.org/results/19001705,"Cross-Country, Women"
https://www.olympedia.org/editions/61/sports/CRD,Cycling Road
https://www.olympedia.org/results/19001700,"Road Race, Individual, Men"
https://www.olympedia.org/results/19001701,"Individual Time Trial, Men"
https://www.olympedia.org/results/19001702,"Road Race, Individual, Women"
https://www.olympedia.org/results/19001703,"Individual Time Trial, Women"
https://www.olympedia.org/editions/61/sports/CTR,Cycling Track
https://www.olympedia.org/results/19004900,"Sprint, Men"
https://www.olympedia.org/results/19004957,"Keirin, Men"
https://www.olympedia.org/results/19004979,"Team Sprint, Men"
https://www.olympedia.org/results/19004996,"Team Pursuit, 4,000 metres, Men"
https://www.olympedia.org/results/19005015,"Madison, Men"
https://www.olympedia.org/results/19005008,"Omnium, Men"
https://www.olympedia.org/results/19005016,"Sprint, Women"
https://www.olympedia.org/results/19005073,"Keirin, Women"
https://www.olympedia.org/results/19005095,"Team Sprint, Women"
https://www.olympedia.org/results/19005112,"Team Pursuit, 4,000 metres, Women"
https://www.olympedia.org/results/19005124,"Omnium, Women"
https://www.olympedia.org/results/19005131,"Madison, Women"
https://www.olympedia.org/editions/61/sports/DIV,Diving
https://www.olympedia.org/results/19002200,"Springboard, Men"
https://www.olympedia.org/results/19002234,"Platform, Men"
https://www.olympedia.org/results/19002268,"Synchronized Springboard, Men"
https://www.olympedia.org/results/19002279,"Synchronized Platform, Men"
https://www.olympedia.org/results/19002290,"Springboard, Women"
https://www.olympedia.org/results/19002318,"Platform, Women"
https://www.olympedia.org/results/19002346,"Synchronized Springboard, Women"
https://www.olympedia.org/results/19002355,"Synchronized Platform, Women"
https://www.olympedia.org/editions/61/sports/EDR,Equestrian Dressage
https://www.olympedia.org/results/19012164,"Individual, Open"
https://www.olympedia.org/results/19012189,"Team, Open"
https://www.olympedia.org/editions/61/sports/EVE,Equestrian Eventing
https://www.olympedia.org/results/19012192,"Individual, Open"
https://www.olympedia.org/results/19012203,"Team, Open"
https://www.olympedia.org/editions/61/sports/EJP,Equestrian Jumping
https://www.olympedia.org/results/19012150,"Individual, Open"
https://www.olympedia.org/results/19012160,"Team, Open"
https://www.olympedia.org/editions/61/sports/FEN,Fencing
https://www.olympedia.org/results/19016400,"Foil, Individual, Men"
https://www.olympedia.org/results/19016471,"Foil, Team, Men"
https://www.olympedia.org/results/19016614,"Épée, Individual, Men"
https://www.olympedia.org/results/19016685,"Épée, Team, Men"
https://www.olympedia.org/results/19016828,"Sabre, Individual, Men"
https://www.olympedia.org/results/19016866,"Sabre, Team, Men"
https://www.olympedia.org/results/19017009,"Foil, Individual, Women"
https://www.olympedia.org/results/19017080,"Foil, Team, Women"
https://www.olympedia.org/results/19017223,"Épée, Individual, Women"
https://www.olympedia.org/results/19017294,"Épée, Team, Women"
https://www.olympedia.org/results/19017437,"Sabre, Individual, Women"
https://www.olympedia.org/results/19017508,"Sabre, Team, Women"
https://www.olympedia.org/editions/61/sports/FBL,Football
https://www.olympedia.org/results/19012000,"Football, Men"
https://www.olympedia.org/results/19012042,"Football, Women"
https://www.olympedia.org/editions/61/sports/GLF,Golf
https://www.olympedia.org/results/19001120,"Individual, Men"
https://www.olympedia.org/results/19001127,"Individual, Women"
https://www.olympedia.org/editions/61/sports/HBL,Handball
https://www.olympedia.org/results/19001471,"Handball, Men"
https://www.olympedia.org/results/19001517,"Handball, Women"
https://www.olympedia.org/editions/61/sports/HOC,Hockey
https://www.olympedia.org/results/19001350,"Hockey, Men"
https://www.olympedia.org/results/19001396,"Hockey, Women"
https://www.olympedia.org/editions/61/sports/JUD,Judo
https://www.olympedia.org/results/18000920,"Extra-Lightweight (≤60 kilograms), Men"
