Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal
Ivan Fyodorovich Dychko,Kazakhstan,KAZ,Summer,2016,Rio De Janeiro,Boxing,Boxing Men'S Super-Heavyweight,Bronze
Jan Dydak,Poland,POL,Summer,1988,Seoul,Boxing,Boxing Men'S Welterweight,Bronze
"Hector Monroe ""Hec"" Dyer",United States,USA,Summer,1932,Los Angeles,Athletics,Athletics Men'S 4 X 100 Metres Relay,Gold
Chlo Dygert (-Owen),United States,USA,Summer,2016,Rio De Janeiro,Cycling,Cycling Women'S Team Pursuit,Silver
Gnter Oskar Dyhrenfurth,Switzerland,SUI,Summer,1936,Berlin,Alpinism,Alpinism Mixed Alpinism,Gold
"Harriet Pauline ""Hettie"" Dyhrenfurth (Heyman-)",Switzerland,SUI,Summer,1936,Berlin,Alpinism,Alpinism Mixed Alpinism,Gold
Izabella Dylewska-Wiatowiak,Poland,POL,Summer,1988,Seoul,Canoeing,"Canoeing Women'S Kayak Singles, 500 Metres",Bronze
Izabella Dylewska-Wiatowiak,Poland,POL,Summer,1992,Barcelona,Canoeing,"Canoeing Women'S Kayak Singles, 500 Metres",Bronze
Svetlana Aleksandrovna Dyomina (Yakimova-),Russia,RUS,Summer,2000,Sydney,Shooting,Shooting Women'S Skeet,Silver
Vitaliy Fedorovych Dyrdyra,Soviet Union,URS,Summer,1972,Munich,Sailing,Sailing Mixed Two Person Keelboat,Gold
"Rebekah ""Becky"" Dyroen-Lancer",United States,USA,Summer,1996,Atlanta,Synchronized Swimming,Synchronized Swimming Women'S Team,Gold
Gustaf Peder Wilhelm Dyrssen,Sweden,SWE,Summer,1920,Antwerpen,Modern Pentathlon,Modern Pentathlon Men'S Individual,Gold
Gustaf Peder Wilhelm Dyrssen,Sweden,SWE,Summer,1924,Paris,Modern Pentathlon,Modern Pentathlon Men'S Individual,Silver
Gustaf Peder Wilhelm Dyrssen,Sweden,SWE,Summer,1936,Berlin,Fencing,"Fencing Men'S Epee, Team",Silver
Savkuz Dzaboyevich Dzarasov,Soviet Union,URS,Summer,1960,Roma,Wrestling,"Wrestling Men'S Heavyweight, Freestyle",Bronze
Roman Dzeneladze,Soviet Union,URS,Summer,1956,Melbourne,Wrestling,"Wrestling Men'S Featherweight, Greco-Roman",Bronze
Rumyana Dimitrova Dzhadzharova-Neykova,Bulgaria,BUL,Summer,2000,Sydney,Rowing,Rowing Women'S Single Sculls,Silver
Rumyana Dimitrova Dzhadzharova-Neykova,Bulgaria,BUL,Summer,2004,Athina,Rowing,Rowing Women'S Single Sculls,Bronze
Rumyana Dimitrova Dzhadzharova-Neykova,Bulgaria,BUL,Summer,2008,Beijing,Rowing,Rowing Women'S Single Sculls,Gold
Kamil Aliyevich Dzhamaludinov,Russia,RUS,Summer,2000,Sydney,Boxing,Boxing Men'S Featherweight,Bronze
Satymkul Dzhumanazarov,Soviet Union,URS,Summer,1980,Moskva,Athletics,Athletics Men'S Marathon,Bronze
Liudmyla Stanislavivna Dzhyhalova,Soviet Union,URS,Summer,1988,Seoul,Athletics,Athletics Women'S 4 X 400 Metres Relay,Gold
Liudmyla Stanislavivna Dzhyhalova,Unified Team,EUN,Summer,1992,Barcelona,Athletics,Athletics Women'S 4 X 400 Metres Relay,Gold
Iwona Dzicio-Marcinkiewicz,Poland,POL,Summer,1996,Atlanta,Archery,Archery Women'S Team,Bronze
"Stanley Joseph ""Stan"" Dziedzic, Jr.",United States,USA,Summer,1976,Montreal,Wrestling,"Wrestling Men'S Welterweight, Freestyle",Bronze
Revaz Dzodzuashvili,Soviet Union,URS,Summer,1972,Munich,Football,Football Men'S Football,Bronze
Mirza Domba,Croatia,CRO,Summer,2004,Athina,Handball,Handball Men'S Handball,Gold
Irina Yuryevna Dzyuba,Russia,RUS,Summer,1996,Atlanta,Rhythmic Gymnastics,Rhythmic Gymnastics Women'S Group,Bronze
Sean Patrick Eadie,Australia,AUS,Summer,2000,Sydney,Cycling,Cycling Men'S Team Sprint,Bronze
Dennis Michael Royal Eagan,Great Britain,GBR,Summer,1952,Helsinki,Hockey,Hockey Men'S Hockey,Bronze
