Sport,Event,Medal,Athlete,Country,Year,City,Season,NOC
Boxing,MEN’S 92 KG,Gold,Lazizbek Mullojonov,Uzbekistan,2024,Paris,Summer,UZB
Boxing,WOMEN’S 50KG,Gold,Wu Yu,China,2024,Paris,Summer,CHN
Boxing,WOMEN’S 66KG,Gold,Imane Khelif,Algeria,2024,Paris,Summer,ALG
Breaking,B-GIRLS,Gold,Ami (Ami Yuasa),Japan,2024,Paris,Summer,JPN
Canoe Sprint,MEN’S KAYAK DOUBLE 500M,Gold,Max Lemke and Jacob Schopf,Germany,2024,Paris,Summer,FRG
Canoe Sprint,MEN’S CANOE SINGLE 1000M,Gold,Martin Fuksa,Czech Republic,2024,Paris,Summer,BOH
Canoe Sprint,WOMEN’S KAYAK DOUBLE 500M,Gold,Lisa Carrington and Alicia Hoskin,New Zealand,2024,Paris,Summer,NZL
Canoe Sprint,WOMEN’S CANOE DOUBLE 500M,Gold,Sun Mengya and Xu Shixiao,China,2024,Paris,Summer,CHN
Cycling Track,MEN’S SPRINT,Gold,Harrie Lavreysen,Netherlands,2024,Paris,Summer,NED
Cycling Track,WOMEN’S MADISON,Gold,Chiara Consonni and Vittoria Guazzini,Italy,2024,Paris,Summer,ITA
Diving,WOMEN’S 3M SPRINGBOARD,Gold,Chen Yiwen,China,2024,Paris,Summer,CHN
Field Hockey,WOMEN’S,Gold,Netherlands,Netherlands,2024,Paris,Summer,NED
Marathon Swimming,MEN’S 10KM,Gold,Kristof Rasovsky,Hungary,2024,Paris,Summer,HUN
Rhythmic Gymnastics,INDIVIDUAL ALL-AROUND,Gold,Darja Varfolomeev,Germany,2024,Paris,Summer,FRG
Sailing,MEN’S KITE,Gold,Valentin Bontus,Austria,2024,Paris,Summer,AUT
Soccer,MEN,Gold,Spain,Spain,2024,Paris,Summer,ESP
Sport Climbing,MEN’S BOULDER & LEAD,Gold,Toby Roberts,Great Britain,2024,Paris,Summer,GBR
Table Tennis,MEN’S TEAM,Gold,China,China,2024,Paris,Summer,CHN
Taekwondo,WOMEN’S -67KG,Gold,Viviana Marton,Hungary,2024,Paris,Summer,HUN
Taekwondo,MEN’S -80KG,Gold,Firas Katoussi,Tunisia,2024,Paris,Summer,TUN
Weightlifting,WOMEN’S 71KG,Gold,Olivia Reeves,United States,2024,Paris,Summer,USA
Weightlifting,MEN’S 89KG,Gold,Karlos Nasar,Bulgaria,2024,Paris,Summer,BUL
Wrestling,WOMEN’S FREESTYLE 57KG,Gold,Tsugumi Sakurai,Japan,2024,Paris,Summer,JPN
Wrestling,MEN’S FREESTYLE 57KG,Gold,Higuchi Rei,Japan,2024,Paris,Summer,JPN
Wrestling,MEN’S FREESTYLE 86KG,Gold,Magomed Eldarovitch Ramazanov,Bulgaria,2024,Paris,Summer,BUL
Track And Field,MEN’S 200M,Gold,Letsile Tebogo,Botswana,2024,Paris,Summer,BOT
Track And Field,MEN’S 110M HURDLES,Gold,GRANT HOLLOWAY,United States,2024,Paris,Summer,USA
Track And Field,MEN’S JAVELIN THROW,Gold,Arshad Nadeem,Pakistan,2024,Paris,Summer,PAK
Track And Field,WOMEN’S 400M HURDLES,Gold,Sydney McLaughlin-Levrone,United States,2024,Paris,Summer,USA
Track And Field,WOMEN’S LONG JUMP,Gold,Tara Davis-Woodhall,United States,2024,Paris,Summer,USA
Cycling,MEN’S OMNIUM,Gold,Benjamin Thomas,France,2024,Paris,Summer,FRA
Cycling,WOMEN’S KEIRIN,Gold,Ellesse Andrews,New Zealand,2024,Paris,Summer,NZL
Canoe Slalom,MEN’S CANOE DOUBLE 500M,Gold,Liu Hao and Ji Bowen,China,2024,Paris,Summer,CHN
Canoe Slalom,WOMEN’S KAYAK FOUR 500M,Gold,New Zealand,New Zealand,2024,Paris,Summer,NZL
Canoe Slalom,MEN’S KAYAK FOUR 500M,Gold,Germany,Germany,2024,Paris,Summer,FRG
Field Hockey,MEN’S,Gold,Netherlands,Netherlands,2024,Paris,Summer,NED
Marathon Swimming,WOMEN’S 10KM,Gold,Sharon van Rouwendaal,Netherlands,2024,Paris,Summer,NED
Sports Climbing,MEN’S SPEED,Gold,Veddriq Leonardo,Indonesia,2024,Paris,Summer,INA
Diving,MEN’S 3M SPRINGBOARD,Gold,Xie Siyi,China,2024,Paris,Summer,CHN
Sailing,MIXED DINGHY,Gold,Lara Vadlau and Lukas Maehr,Austria,2024,Paris,Summer,AUT
Sailing,MIXED MULTIHULL,Gold,Ruggero Tita and Caterina Marianna Banti,Italy,2024,Paris,Summer,ITA
Sailing,WOMEN’S KITE,Gold,Eleanor Aldridge,Great Britain,2024,Paris,Summer,GBR
Weightlifting,WOMEN’S 59KG,Gold,Luo Shifang,China,2024,Paris,Summer,CHN
Wrestling,MEN’S GRECO-ROMAN 67KG,Gold,Saeid Esmaeili Leivesi,Iran,2024,Paris,Summer,IRI
Wrestling,MEN’S GRECO-ROMAN 87KG,Gold,Semen Sergeevich Novikov,Bulgaria,2024,Paris,Summer,BUL
Wrestling,WOMEN’S FREESTYLE 53KG,Gold,Akari Fujinami,Japan,2024,Paris,Summer,JPN
Artistic Swimming,TEAM,Gold,China,China,2024,Paris,Summer,CHN
Boxing,MEN’S 63.5KG,Gold,Erislandy Alvarez Borges,Cuba,2024,Paris,Summer,CUB
Boxing,MEN’S 80KG,Gold,Oleksandr Khyzhniak,Ukraine,2024,Paris,Summer,UKR
Climbing,WOMEN’S SPEED,Gold,Aleksandra Miroslaw,Poland,2024,Paris,Summer,POL
Cycling,CYCLING MEN’S TEAM PURSUIT,Gold,"Oliver Bleddyn, Conor Leahy, Kelland O’Brien, Sam Welsford)",Australia,2024,Paris,Summer,ANZ
Cycling,CYCLING WOMEN’S TEAM PURSUIT,Gold,"Chloé Dygert, Kristen Faulkner, Jennifer Valente, Lily Williams)",United States,2024,Paris,Summer,USA
Sailing,MEN’S DINGHY,Gold,Matt Wearn,Australia,2024,Paris,Summer,ANZ
Sailing,WOMEN’S DINGHY,Gold,Marit Bouwmeester,Netherlands,2024,Paris,Summer,NED
Skateboarding,MEN’S PARK,Gold,Keegan Palmer,Australia,2024,Paris,Summer,ANZ
Taekwondo,MEN 58KG,Gold,Park Tae-joon,South Korea,2024,Paris,Summer,KOR
Taekwondo,WOMEN’S 49KG,Gold,Panipak Wongpattanakit,Thailand,2024,Paris,Summer,THA
Track And Field,MEN’S 400M,Gold,Quincy Hall,United States,2024,Paris,Summer,USA
Track And Field,"MEN’S 3,000M STEEPLECHASE",Gold,Soufiane El Bakkali,Morocco,2024,Paris,Summer,MAR
Track And Field,MEN’S DISCUS THROW,Gold,Roje Stona,Jamaica,2024,Paris,Summer,JAM
Track And Field,WOMEN’S POLE VAULT,Gold,Nina Kennedy,Australia,2024,Paris,Summer,ANZ
Track And Field,MARATHON RACE WALK MIXED RELAY,Gold,Spain,Spain,2024,Paris,Summer,ESP
Weightlifting,MEN’S 61KG,Gold,Li Fabin,China,2024,Paris,Summer,CHN
Weightlifting,WOMEN’S 49KG,Gold,Hou Zhihui,China,2024,Paris,Summer,CHN
Wrestling,MEN’S GRECO-ROMAN 77KG,Gold,Nao Kusaka,Japan,2024,Paris,Summer,JPN
Wrestling,MEN’S GRECO-ROMAN 97KG,Gold,Mohammadhadi Saravi,Iran,2024,Paris,Summer,IRI
Wrestling,WOMEN’S FREESTYLE 50KG,Gold,Sarah Ann Hildebrandt,United States,2024,Paris,Summer,USA
Boxing,WOMEN’S 60KG,Gold,Kellie Harrington,Ireland,2024,Paris,Summer,IRL
Cycling Track,MEN’S TEAM SPRINT,Gold,Netherlands,Netherlands,2024,Paris,Summer,NED
Diving,WOMEN’S 10M PLATFORM,Gold,Quan Hongchan,China,2024,Paris,Summer,CHN
Equestrian,INDIVIDUAL JUMPING,Gold,Christian Kukuk,Germany,2024,Paris,Summer,FRG
Skateboarding,WOMEN’S PARK,Gold,Arisa Trew,Australia,2024,Paris,Summer,ANZ
Track And Field,WOMEN’S 200M,Gold,Gabrielle Thomas,United States,2024,Paris,Summer,USA
Track And Field,"WOMEN’S 3,000M STEEPLECHASE",Gold,Winfred Yavi,Bahrain,2024,Paris,Summer,BRN
Track And Field,WOMEN’S HAMMER THROW,Gold,Camryn Rogers,Canada,2024,Paris,Summer,CAN
Track And Field,"MEN’S 1,500M",Gold,Cole Hocker,United States,2024,Paris,Summer,USA
Track And Field,MEN’S LONG JUMP,Gold,Miltiadis Tentoglou,Greece,2024,Paris,Summer,CRT
Wrestling,MEN’S GRECO-ROMAN 130KG,Gold,Mijain Lopez Nunez,Cuba,2024,Paris,Summer,CUB
Wrestling,MEN’S GRECO-ROMAN 60KG,Gold,Kenichiro Fumita,Japan,2024,Paris,Summer,JPN
Wrestling,WOMEN’S FREESTYLE 68KG,Gold,Amit Elor,United States,2024,Paris,Summer,USA
3X3 Basketball,MEN’S 3X3 BASKETBALL,Gold,Netherlands,Netherlands,2024,Paris,Summer,NED
3X3 Basketball,WOMEN’S 3X3 BASKETBALL,Gold,Germany,Germany,2024,Paris,Summer,FRG
Badminton,MEN’S SINGLES,Gold,Viktor Axelsen,Denmark,2024,Paris,Summer,DEN
Badminton,WOMEN’S SINGLES,Gold,An Se-young,South Korea,2024,Paris,Summer,KOR
Canoe Slalom,MEN’S KAYAK CROSS,Gold,Finn Butcher,New Zealand,2024,Paris,Summer,NZL
Canoe Slalom,WOMEN’S KAYAK CROSS,Gold,Noemie Fox,Australia,2024,Paris,Summer,ANZ
Cycling Track,WOMEN’S TEAM SPRINT,Gold,Britain,Great Britain,2024,Paris,Summer,GBR
Gymnastics,MEN’S HORIZONTAL BAR,Gold,Shinnosuke Oka,Japan,2024,Paris,Summer,JPN
Gymnastics,MEN’S PARALLEL BARS,Gold,Zou Jingyuan,China,2024,Paris,Summer,CHN
Gymnastics,WOMEN’S BALANCE BEAM,Gold,Alice D’Amato,Italy,2024,Paris,Summer,ITA
Gymnastics,WOMEN’S FLOOR EXERCISE,Gold,Rebeca Andrade,Brazil,2024,Paris,Summer,BRA
Shooting,MEN’S 25M RAPID FIRE PISTOL,Gold,Li Yuehong,China,2024,Paris,Summer,CHN
Shooting,MIXED TEAM SKEET,Gold,Diana Bacosi and Gabriele Rossetti,Italy,2024,Paris,Summer,ITA
Surfing,MEN,Gold,Kauli Vaast,France,2024,Paris,Summer,FRA
Surfing,WOMEN,Gold,Caroline Marks,United States,2024,Paris,Summer,USA
Track And Field,MEN’S POLE VAULT,Gold,Armand Duplantis,Sweden,2024,Paris,Summer,SWE
Track And Field,WOMEN’S 800M,Gold,Keely Hodgkinson,Great Britain,2024,Paris,Summer,GBR
Track And Field,WOMEN’S 5000M,Gold,Beatrice Chebet,Kenya,2024,Paris,Summer,KEN
Track And Field,WOMEN’S DISCUS THROW,Gold,Valerie Allman,United States,2024,Paris,Summer,USA
Triathlon,MIXED RELAY,Gold,Germany,Germany,2024,Paris,Summer,FRG
Archery,MEN’S INDIVIDUAL,Gold,Kim Woo-jin,South Korea,2024,Paris,Summer,KOR
Artistic Gymnastics,MEN’S RINGS,Gold,Liu Yang,China,2024,Paris,Summer,CHN
Artistic Gymnastics,MEN’S VAULT,Gold,Carlos Edriel Yulo,Philippines,2024,Paris,Summer,PHI
Artistic Gymnastics,WOMEN’S UNEVEN BARS,Gold,Kaylia Nemour,Algeria,2024,Paris,Summer,ALG
Badminton,MEN’S DOUBLES,Gold,Lee Yang and Wang Chi-lin,Taiwan,2024,Paris,Summer,TPE
Cycling,WOMEN’S ROAD RACE,Gold,Kristen Faulkner,United States,2024,Paris,Summer,USA
Equestrian,DRESSAGE INDIVIDUAL,Gold,Jessica von Bredow-Werndl,Germany,2024,Paris,Summer,FRG
Fencing,MEN’S FOIL TEAM,Gold,Japan,Japan,2024,Paris,Summer,JPN
Golf,MEN’S INDIVIDUAL,Gold,Scottie Scheffler,United States,2024,Paris,Summer,USA
Shooting,WOMEN’S SKEET,Gold,Francisca Crovetto,Chile,2024,Paris,Summer,CHI
Swimming,WOMEN’S 50M FREESTYLE,Gold,Sarah Sjöström,Sweden,2024,Paris,Summer,SWE
Swimming,WOMEN’S 4x100M MEDLEY RELAY,Gold,United States,United States,2024,Paris,Summer,USA
Swimming,MEN’S 1500M FREESTYLE,Gold,Bobby Finke,United States,2024,Paris,Summer,USA
Swimming,MEN’S 4x100M MEDLEY RELAY,Gold,China,China,2024,Paris,Summer,CHN
Table Tennis,MEN’S SINGLES,Gold,Fan Zhendong,China,2024,Paris,Summer,CHN
Tennis,MEN’S SINGLES,Gold,Nova Djokovic,Serbia,2024,Paris,Summer,SCG
Tennis,WOMEN’S DOUBLES,Gold,Sara Errani and Jasmine Paolini,Italy,2024,Paris,Summer,ITA
Track And Field,MEN’S 100M,Gold,Noah Lyles,United States,2024,Paris,Summer,USA
Track And Field,MEN’S HAMMER THROW,Gold,Ethan Katzberg,Canada,2024,Paris,Summer,CAN
Track And Field,WOMEN’S HIGH JUMP,Gold,Yaroslava Mahuchikh,Ukraine,2024,Paris,Summer,UKR
Archery,WOMEN’S INDIVIDUAL,Gold,Lim Si-hyeon,South Korea,2024,Paris,Summer,KOR
Artistic Gymnastics,MEN’S FLOOR EXERCISE,Gold,Carlos Edriel Yulo,Philippines,2024,Paris,Summer,PHI
Artistic Gymnastics,MEN’S POMMEL HORSE,Gold,Rhys McClenaghan,Ireland,2024,Paris,Summer,IRL
Artistic Gymnastics,WOMEN’S VAULT,Gold,Simone Biles,United States,2024,Paris,Summer,USA
Badminton,WOMEN’S DOUBLES,Gold,Chen Qingchen and Jia Yifan,China,2024,Paris,Summer,CHN
Cycling,MEN’S ROAD RACE,Gold,Remco Evenepoel,Belgium,2024,Paris,Summer,BEL
Equestrian,DRESSAGE TEAM,Gold,Germany,Germany,2024,Paris,Summer,FRG
Fencing,WOMEN’S TEAM SABER,Gold,Ukraine,Ukraine,2024,Paris,Summer,UKR
Judo,MIXED TEAM,Gold,France,France,2024,Paris,Summer,FRA
Rowing,MEN’S EIGHT,Gold,Britain,Great Britain,2024,Paris,Summer,GBR
Rowing,WOMEN’S EIGHT,Gold,Romania,Romania,2024,Paris,Summer,ROU
Rowing,MEN’S SINGLE SCULLS,Gold,Oliver Zeidler,Germany,2024,Paris,Summer,FRG
Rowing,WOMEN’S SINGLE SCULLS,Gold,Karolien Florijn,Netherlands,2024,Paris,Summer,NED
Sailing,MEN’S WINDSURFING,Gold,Tom Reuveny,Israel,2024,Paris,Summer,ISR
Sailing,WOMEN’S WINDSURFING,Gold,Marta Maggetti,Italy,2024,Paris,Summer,ITA
