Sport,Event,Medal,Athlete,Country,Year,City,Season,NOC
Swimming,WOMEN’S 100M FREESTYLE,Gold,Sarah Sjoestroem,Sweden,2024,Paris,Summer,SWE
Swimming,"WOMEN’S 1,500M FREESTYLE",Gold,Katie Ledecky,United States,2024,Paris,Summer,USA
Swimming,MEN’S 100M FREESTYLE,Gold,Pan Zhanle,China,2024,Paris,Summer,CHN
Swimming,MEN’S 200M BREASTSTROKE,Gold,Léon Marchand,France,2024,Paris,Summer,FRA
Swimming,MEN’S 200M BUTTERFLY,Gold,Léon Marchand,France,2024,Paris,Summer,FRA
Shooting,WOMEN’S TRAP,Gold,Adriana Ruano,Guatemala,2024,Paris,Summer,GUA
Triathlon,WOMEN,Gold,Cassandre Beaugrand,France,2024,Paris,Summer,FRA
Triathlon,MEN,Gold,Alex Yee,Great Britain,2024,Paris,Summer,GBR
Fencing,WOMEN’S EPEE TEAM,Gold,Italy,Italy,2024,Paris,Summer,ITA
Gymnastics,WOMEN’S TEAM,Gold,United States,United States,2024,Paris,Summer,USA
Judo,WOMEN’S 63KG,Gold,Andreja Leški,Slovenia,2024,Paris,Summer,SLO
Judo,MEN’S 81KG,Gold,Takanori Nagase,Japan,2024,Paris,Summer,JPN
Rugby Sevens,WOMEN’S,Gold,New Zealand,New Zealand,2024,Paris,Summer,NZL
Shooting,MIXED TEAM 10M AIR PISTOL,Gold,Zorana Arunovic and Damir Mikec,Serbia,2024,Paris,Summer,SCG
Shooting,MEN’S TRAP,Gold,Nathan Hales,Great Britain,2024,Paris,Summer,GBR
Swimming,WOMEN’S 100M BACKSTROKE,Gold,Kaylee McKeown,Australia,2024,Paris,Summer,ANZ
Swimming,MEN’S 800M FREESTYLE,Gold,Daniel Wiffen,Ireland,2024,Paris,Summer,IRL
Swimming,MEN’S 4X200M FREESTYLE RELAY,Gold,Britain,Great Britain,2024,Paris,Summer,GBR
Table Tennis,MEN’S 4x200M FREESTYLE RELAY,Gold,Wang Chuqin and Sun Yingsha,China,2024,Paris,Summer,CHN
Archery,MIXED DOUBLES,Gold,South Korea,South Korea,2024,Paris,Summer,KOR
Artistic Gymnastics,MEN’S TEAM,Gold,Japan,Japan,2024,Paris,Summer,JPN
Canoe Slalom,MEN’S TEAM,Gold,Nicolas Gestin,France,2024,Paris,Summer,FRA
Cycling Mountain Bike,MEN’S CANOE SINGLE,Gold,Tom Pidcock,Great Britain,2024,Paris,Summer,GBR
Diving,MEN’S CROSS-COUNTRY,Gold,Lian Junjie and Yang Hao,China,2024,Paris,Summer,CHN
Equestrian,MEN’S SYNCHRONIZED 10M PLATFORM,Gold,Britain,Great Britain,2024,Paris,Summer,GBR
Fencing,EVENTING TEAM,Gold,Manon Apithy-Brunet,France,2024,Paris,Summer,FRA
Fencing,MEN’S FOIL INDIVIDUAL,Gold,Cheung Ka Long,Hong Kong,2024,Paris,Summer,HKG
Judo,WOMEN’S SABER INDIVIDUAL,Gold,Christa Deguchi,Canada,2024,Paris,Summer,CAN
Judo,MEN’S 73KG,Gold,Hidayat Heydarov,Azerbaijan,2024,Paris,Summer,AZE
Shooting,WOMEN’S 57KG,Gold,Ban Hyo-jin,South Korea,2024,Paris,Summer,KOR
Shooting,MEN’S 10M AIR RIFLE,Gold,Sheng Lihao,China,2024,Paris,Summer,CHN
Skateboarding,WOMEN’S 10M AIR RIFLE,Gold,Yuto Horigome,Japan,2024,Paris,Summer,JPN
Swimming,WOMEN’S 100M BREASTSTROKE,Gold,Tatjana Smith,South Africa,2024,Paris,Summer,RSA
Swimming,WOMEN’S 200M FREESTYLE,Gold,Mollie O’Callaghan,Australia,2024,Paris,Summer,ANZ
Swimming,WOMEN’S 400M INDIVIDUAL MEDLEY,Gold,Summer McIntosh,Canada,2024,Paris,Summer,CAN
Swimming,MEN’S 100M BACKSTROKE,Gold,Thomas Ceccon,Italy,2024,Paris,Summer,ITA
Swimming,MEN’S 200M FREESTYLE,Gold,David Popovici,Romania,2024,Paris,Summer,ROU
Archery,WOMEN’S TEAM,Gold,South Korea,South Korea,2024,Paris,Summer,KOR
Canoe Slalom,WOMEN’S KAYAK SINGLE,Gold,Jessica Fox,Australia,2024,Paris,Summer,ANZ
Cycling Mountain Bike,WOMEN’S CROSS-COUNTRY,Gold,Pauline Ferrand-Prevot,France,2024,Paris,Summer,FRA
Fencing,WOMEN’S FOIL INDIVIDUAL,Gold,Lee Kiefer,United States,2024,Paris,Summer,USA
Judo,WOMEN’S 52KG,Gold,Diyora Keldiyorova,Uzbekistan,2024,Paris,Summer,UZB
Judo,MEN’S 66KG,Gold,Hifumi Abe,Japan,2024,Paris,Summer,JPN
Shooting,MEN’S 10M AIR PISTOL,Gold,Xie Yu,China,2024,Paris,Summer,CHN
Swimming,MEN’S 400M INDIVIDUAL MEDLEY,Gold,Léon Marchand,France,2024,Paris,Summer,FRA
Swimming,WOMEN’S 100M BUTTERFLY,Gold,Torri Huske,United States,2024,Paris,Summer,USA
Shooting,WOMEN’S 10M AIR PISTOL,Gold,Oh Ye-jin,South Korea,2024,Paris,Summer,KOR
Skateboarding,WOMEN’S STREET,Gold,Coco Yoshizawa,Japan,2024,Paris,Summer,JPN
Cycling,MEN’S INDIVIDUAL TIME TRIAL,Gold,Remco Evenepoel,Belgium,2024,Paris,Summer,BEL
Cycling,WOMEN’S INDIVIDUAL TIME TRIAL,Gold,Grace Brown,Australia,2024,Paris,Summer,ANZ
Diving,WOMEN’S SYNCHRONIZED 3M SPRINGBOARD,Gold,Chang Yani and Chen Yiwen,China,2024,Paris,Summer,CHN
Fencing,WOMEN’S EPEE INDIVIDUAL,Gold,Vivian Kong,Hong Kong,2024,Paris,Summer,HKG
Fencing,MEN’S SABER INDIVIDUAL,Gold,Sanguk Oh,South Korea,2024,Paris,Summer,KOR
Judo,WOMEN 48KG,Gold,Natsumi Tsunoda,Japan,2024,Paris,Summer,JPN
Judo,MEN 60KG,Gold,Yeldos Smetov,Kazakhstan,2024,Paris,Summer,KAZ
Rugby Sevens,MEN’S,Gold,France,France,2024,Paris,Summer,FRA
Shooting,10M AIR RIFLE MIXED TEAM,Gold,Huang Yuting and Sheng Lihao,China,2024,Paris,Summer,CHN
Swimming,MEN’S 400M FREESTYLE,Gold,Lukas Maertens,Germany,2024,Paris,Summer,FRG
Swimming,MEN’S 4X100M FREESTYLE RELAY,Gold,United States,United States,2024,Paris,Summer,USA
Swimming,WOMEN’S 400M FREESTYLE,Gold,Ariarne Titmus,Australia,2024,Paris,Summer,ANZ
Swimming,WOMEN’S 4X100M FREESTYLE RELAY,Gold,Australia,Australia,2024,Paris,Summer,ANZ
Athletics,WOMEN’S MARATHON,Silver,Tigst Assefa,Ethiopia,2024,Paris,Summer,ETH
Basketball,WOMEN’S,Silver,France,France,2024,Paris,Summer,FRA
Cycling Track,MEN’S KEIRIN,Silver,Matthew Richardson,Australia,2024,Paris,Summer,ANZ
Cycling Track,WOMEN’S SPRING,Silver,Lea Friedrich,Germany,2024,Paris,Summer,FRG
Cycling Track,WOMEN’S OMNIUM,Silver,Daria Pikulik,Poland,2024,Paris,Summer,POL
Handball,MEN’S,Silver,Germany,Germany,2024,Paris,Summer,FRG
Modern Pentathlon,WOMEN’S INDIVIDUAL,Silver,Elodie Clouvel,France,2024,Paris,Summer,FRA
Volleyball,WOMEN’S,Silver,United States,United States,2024,Paris,Summer,USA
Water Polo,MEN’S,Silver,Croatia,Croatia,2024,Paris,Summer,CRO
Weightlifting,WOMEN’S +81KG,Silver,Park Hyejeong,South Korea,2024,Paris,Summer,KOR
Wrestling,WOMEN’S FREESTYLE 76KG,Silver,Kennedy Alexis Blades,United States,2024,Paris,Summer,USA
Wrestling,MEN’S FREESTYLE 65KG,Silver,Rahman Amouzadkhalili,Iran,2024,Paris,Summer,IRI
Wrestling,MEN’S FREESTYLE 97KG,Silver,Givi Matcharashvili,Georgia,2024,Paris,Summer,GEO
Artistic Swimming,DUET,Silver,Kate Shortman and Isabelle Thorpe),Great Britain,2024,Paris,Summer,GBR
Basketball,MEN,Silver,France,France,2024,Paris,Summer,FRA
Beach Volleyball,MEN,Silver,Nils Ehlers and Clemens Wickler,Germany,2024,Paris,Summer,FRG
Boxing,MEN’S 57KG,Silver,Munarbek Seiitbek Uulu,Kyrgyzstan,2024,Paris,Summer,KGZ
Boxing,WOMEN’S 57KG,Silver,Julia Szeremeta,Poland,2024,Paris,Summer,POL
Boxing,MEN’S +92KG,Silver,Ayoub Ghadfa,Spain,2024,Paris,Summer,ESP
Boxing,WOMEN’S 75KG,Silver,Atheyna Bylon,Panama,2024,Paris,Summer,PAN
Breaking,B-BOYS,Silver,Dany Dann (Danis Civil),France,2024,Paris,Summer,FRA
Canoe Sprint,MEN’S 1000M SINGLE KAYAK,Silver,Adam Varga,Hungary,2024,Paris,Summer,HUN
Canoe Sprint,WOMEN’S 500M SINGLE KAYAK,Silver,Tamara Csipes,Hungary,2024,Paris,Summer,HUN
Canoe Sprint,WOMEN’S 200M SINGLE KAYAK,Silver,Nevin Harrison,United States,2024,Paris,Summer,USA
Cycling Track,MEN’S MADISON,Silver,Simone Consonni and Elia Viviani,Italy,2024,Paris,Summer,ITA
Diving,MEN’S 10M PLATFORM,Silver,Rikuto Tamai,Japan,2024,Paris,Summer,JPN
Golf,WOMEN’S INDIVIDUAL,Silver,Esther Henseleit,Germany,2024,Paris,Summer,FRG
Handball,WOMEN,Silver,France,France,2024,Paris,Summer,FRA
Modern Pentathlon,MEN’S,Silver,Taishu Sato,Japan,2024,Paris,Summer,JPN
Rhythmic Gymnastics,GROUP ALL-AROUND,Silver,Israel,Israel,2024,Paris,Summer,ISR
Soccer,WOMEN’S,Silver,Brazil,Brazil,2024,Paris,Summer,BRA
Sport Climbing,WOMEN’S BOULDER & LEAD,Silver,Brooke Raboutou,United States,2024,Paris,Summer,USA
Table Tennis,WOMEN’S TEAM,Silver,Japan,Japan,2024,Paris,Summer,JPN
Taekwondo,MEN’S +80KG,Silver,Caden Cunningham,Great Britain,2024,Paris,Summer,GBR
Taekwondo,WOMEN’S +67KG,Silver,Svetlana Osipova,Uzbekistan,2024,Paris,Summer,UZB
Track And Field,MEN’S MARATHON,Silver,Bashir Abdi,Belgium,2024,Paris,Summer,BEL
Track And Field,MEN’S 800M,Silver,Marco Arop,Canada,2024,Paris,Summer,CAN
Track And Field,MEN’S 5000M,Silver,Ronald Kwemoi,Kenya,2024,Paris,Summer,KEN
Track And Field,MEN’S HIGH JUMP,Silver,Shelby McEwen,United States,2024,Paris,Summer,USA
Track And Field,MEN’S 4X400M RELAY,Silver,Botswana,Botswana,2024,Paris,Summer,BOT
Track And Field,WOMEN’S 4X400M RELAY,Silver,Netherlands,Netherlands,2024,Paris,Summer,NED
Track And Field,WOMEN’S 1500M,Silver,Jessica Hull,Australia,2024,Paris,Summer,ANZ
Track And Field,WOMEN’S JAVELIN THROW,Silver,Jo-Ane van Dyk,South Africa,2024,Paris,Summer,RSA
Track And Field,WOMEN’S 100M HURDLES,Silver,Cyréna Samba-Mayela,France,2024,Paris,Summer,FRA
Volleyball,MEN’S TEAM,Silver,Poland,Poland,2024,Paris,Summer,POL
Water Polo,WOMEN’S,Silver,Australia,Australia,2024,Paris,Summer,ANZ
Weightlifting,MEN’S 102KG,Silver,Akbar Djuraev,Uzbekistan,2024,Paris,Summer,UZB
Weightlifting,MEN’S 102KG,Silver,Varazdat Lalayan,Armenia,2024,Paris,Summer,ARM
Weightlifting,WOMEN’S 81KG,Silver,Sara Ahmed,Egypt,2024,Paris,Summer,EGY
Wrestling,MEN’S FREESTYLE 74KG,Silver,Daichi Takatani,Japan,2024,Paris,Summer,JPN
Wrestling,WOMEN’S FREESTYLE 62KG,Silver,Iryna Koliadenko,Ukraine,2024,Paris,Summer,UKR
Wrestling,MEN’S FREESTYLE 125KG,Silver,Amir Hossein Zare,Iran,2024,Paris,Summer,IRI
Track And Field,MEN’S 400M HURDLES,Silver,Karsten Warholm,Norway,2024,Paris,Summer,NOR
Track And Field,MEN’S TRIPLE JUMP,Silver,Pedro Pichardo,Portugal,2024,Paris,Summer,POR
Track And Field,MEN’S 4X100M RELAY,Silver,South Africa,South Africa,2024,Paris,Summer,RSA
Track And Field,WOMEN’S 4X100M RELAY,Silver,Britain,Great Britain,2024,Paris,Summer,GBR
Track And Field,WOMEN’S SHUT PUT,Silver,Maddison-Lee Wesche,New Zealand,2024,Paris,Summer,NZL
Track And Field,"WOMEN’S 10,000M",Silver,Nadia Battocletti,Italy,2024,Paris,Summer,ITA
Track And Field,WOMEN’S 400M,Silver,Salwa Eid Naser,Bahrain,2024,Paris,Summer,BRN
Track And Field,WOMEN’S 4X100M RELAY,Silver,Britain,Great Britain,2024,Paris,Summer,GBR
Beach Volleyball,WOMEN’S,Silver,Canada,Canada,2024,Paris,Summer,CAN
Boxing,MEN’S 71KG,Silver,Marco Verde,Mexico,2024,Paris,Summer,MEX
Boxing,MEN’S 92 KG,Silver,Loren Berto Alfonso Dominguez,Azerbaijan,2024,Paris,Summer,AZE
Boxing,WOMEN’S 50KG,Silver,Buse Naz Cakiroglu,Turkey,2024,Paris,Summer,TUR
Boxing,WOMEN’S 66KG,Silver,Yang Liu,China,2024,Paris,Summer,CHN
Breaking,B-GIRLS,Silver,Nicka (Dominika Banevič),Lithuania,2024,Paris,Summer,LTU
Canoe Sprint,MEN’S KAYAK DOUBLE 500M,Silver,Bence Nadas and Sandor Totka,Hungary,2024,Paris,Summer,HUN
Canoe Sprint,MEN’S CANOE SINGLE 1000M,Silver,Isaquias Queiroz,Brazil,2024,Paris,Summer,BRA
Canoe Sprint,WOMEN’S KAYAK DOUBLE 500M,Silver,Tamara Csipes and Dora Alida Gazso,Hungary,2024,Paris,Summer,HUN
Canoe Sprint,WOMEN’S CANOE DOUBLE 500M,Silver,Liudmyla Luzan and Anastasiia Rybachok,Ukraine,2024,Paris,Summer,UKR
Cycling Track,MEN’S SPRINT,Silver,Matthew Richardson,Australia,2024,Paris,Summer,ANZ
Cycling Track,WOMEN’S MADISON,Silver,Elinor Barker and Neah Evans),Great Britain,2024,Paris,Summer,GBR
Diving,WOMEN’S 3M SPRINGBOARD,Silver,Maddison Keeney,Australia,2024,Paris,Summer,ANZ
Field Hockey,WOMEN’S,Silver,China,China,2024,Paris,Summer,CHN
Marathon Swimming,MEN’S 10KM,Silver,Oliver Klemet,Germany,2024,Paris,Summer,FRG
Rhythmic Gymnastics,INDIVIDUAL ALL-AROUND,Silver,Boryana Kaleyn,Bulgaria,2024,Paris,Summer,BUL
Sailing,MEN’S KITE,Silver,Toni Vodisek,Slovenia,2024,Paris,Summer,SLO
Soccer,MEN,Silver,France,France,2024,Paris,Summer,FRA
Sport Climbing,MEN’S BOULDER & LEAD,Silver,Sorato Anraku,Japan,2024,Paris,Summer,JPN
Table Tennis,MEN’S TEAM,Silver,Sweden,Sweden,2024,Paris,Summer,SWE
Taekwondo,WOMEN’S -67KG,Silver,Aleksandra Perisic,Serbia,2024,Paris,Summer,SCG
Taekwondo,MEN’S -80KG,Silver,Mehran Barkhordari,Iran,2024,Paris,Summer,IRI
Weightlifting,WOMEN’S 71KG,Silver,Mari Leivis Sanchez,Colombia,2024,Paris,Summer,COL
Weightlifting,MEN’S 89KG,Silver,Yeison López,Colombia,2024,Paris,Summer,COL
Wrestling,WOMEN’S FREESTYLE 57KG,Silver,Anastasia Nichita,Moldova,2024,Paris,Summer,MDA
Wrestling,MEN’S FREESTYLE 57KG,Silver,Spencer Lee,United States,2024,Paris,Summer,USA
Wrestling,MEN’S FREESTYLE 86KG,Silver,Hassan Yazdanicharati,Iran,2024,Paris,Summer,IRI
Track And Field,MEN’S 200M,Silver,Kenneth Bednarek,United States,2024,Paris,Summer,USA
Track And Field,MEN’S 110M HURDLES,Silver,Daniel Roberts,United States,2024,Paris,Summer,USA
Track And Field,MEN’S JAVELIN THROW,Silver,Neeraj Chopra,India,2024,Paris,Summer,IND
Track And Field,WOMEN’S 400M HURDLES,Silver,Anna Cockrell,United States,2024,Paris,Summer,USA
Track And Field,WOMEN’S LONG JUMP,Silver,Malaika Mihambo,Germany,2024,Paris,Summer,FRG
Cycling,MEN’S OMNIUM,Silver,Iuri Leitao,Portugal,2024,Paris,Summer,POR
Cycling,WOMEN’S KEIRIN,Silver,Hetty van de Wouw,Netherlands,2024,Paris,Summer,NED
Canoe Slalom,MEN’S CANOE DOUBLE 500M,Silver,Gabriele Casadei and Carlo Tacchini,Italy,2024,Paris,Summer,ITA
Canoe Slalom,WOMEN’S KAYAK FOUR 500M,Silver,Germany,Germany,2024,Paris,Summer,FRG
Canoe Slalom,MEN’S KAYAK FOUR 500M,Silver,Australia,Australia,2024,Paris,Summer,ANZ
Field Hockey,MEN’S,Silver,Germany,Germany,2024,Paris,Summer,FRG
Marathon Swimming,WOMEN’S 10KM,Silver,Moesha Johnson,Australia,2024,Paris,Summer,ANZ
Sports Climbing,MEN’S SPEED,Silver,Wu Peng,China,2024,Paris,Summer,CHN
Diving,MEN’S 3M SPRINGBOARD,Silver,Wang Zongyuan,China,2024,Paris,Summer,CHN
Sailing,MIXED DINGHY,Silver,Keiju Okada and Miho Yoshioka,Japan,2024,Paris,Summer,JPN
Sailing,MIXED MULTIHULL,Silver,Mateo Majdalani and Eugenia Bosco,Argentina,2024,Paris,Summer,ARG
Sailing,WOMEN’S KITE,Silver,Lauriane Nolot,France,2024,Paris,Summer,FRA
Weightlifting,WOMEN’S 59KG,Silver,Maude Charron,Canada,2024,Paris,Summer,CAN
Wrestling,MEN’S GRECO-ROMAN 67KG,Silver,Parviz Nasibov,Ukraine,2024,Paris,Summer,UKR
Wrestling,MEN’S GRECO-ROMAN 87KG,Silver,Alireza Mohmadipiani,Iran,2024,Paris,Summer,IRI
Wrestling,WOMEN’S FREESTYLE 53KG,Silver,Lucia Yamileth Yepez Guzman,Ecuador,2024,Paris,Summer,ECU
Artistic Swimming,TEAM,Silver,United States,United States,2024,Paris,Summer,USA
Boxing,MEN’S 63.5KG,Silver,Sofiane Oumiha,France,2024,Paris,Summer,FRA
Boxing,MEN’S 80KG,Silver,Nurbek Oralbay,Kazakhstan,2024,Paris,Summer,KAZ
Climbing,WOMEN’S SPEED,Silver,Deng Lijuan,China,2024,Paris,Summer,CHN
Cycling,CYCLING MEN’S TEAM PURSUIT,Silver,"Daniel Bigham, Ethan Hayter, Charlie Tanfield, Ethan Vernon, Oliver Wood)",Great Britain,2024,Paris,Summer,GBR
Cycling,CYCLING WOMEN’S TEAM PURSUIT,Silver,"Bryony Botha, Emily Shearman, Nicole Shields, Ally Wollaston)",New Zealand,2024,Paris,Summer,NZL
Sailing,MEN’S DINGHY,Silver,Pavlos Kontides,Cyprus,2024,Paris,Summer,CYP
Sailing,WOMEN’S DINGHY,Silver,Anne-Marie Rindom,Denmark,2024,Paris,Summer,DEN
Skateboarding,MEN’S PARK,Silver,Tom Schaar,United States,2024,Paris,Summer,USA
Taekwondo,MEN 58KG,Silver,Gashim Magomedov,Azerbaijan,2024,Paris,Summer,AZE
Taekwondo,WOMEN’S 49KG,Silver,Guo Qing,China,2024,Paris,Summer,CHN
Track And Field,MEN’S 400M,Silver,Matthew Hudson-Smith,Great Britain,2024,Paris,Summer,GBR
Track And Field,"MEN’S 3,000M STEEPLECHASE",Silver,Kenneth Rooks,United States,2024,Paris,Summer,USA
Track And Field,MEN’S DISCUS THROW,Silver,Mykolas Alekna,Lithuania,2024,Paris,Summer,LTU
Track And Field,WOMEN’S POLE VAULT,Silver,Katie Moon,United States,2024,Paris,Summer,USA
Track And Field,MARATHON RACE WALK MIXED RELAY,Silver,Ecuador,Ecuador,2024,Paris,Summer,ECU
Weightlifting,MEN’S 61KG,Silver,Theerapong Silachai,Thailand,2024,Paris,Summer,THA
Weightlifting,WOMEN’S 49KG,Silver,Mihaela Valentina Cambei,Romania,2024,Paris,Summer,ROU
Wrestling,MEN’S GRECO-ROMAN 77KG,Silver,Demeu Zhadrayev,Kazakhstan,2024,Paris,Summer,KAZ
Wrestling,MEN’S GRECO-ROMAN 97KG,Silver,Artur Aleksanyan,Armenia,2024,Paris,Summer,ARM
Wrestling,WOMEN’S FREESTYLE 50KG,Silver,Yusneylis Guzman Lopez,Cuba,2024,Paris,Summer,CUB
Boxing,WOMEN’S 60KG,Silver,Yang Wenlu,China,2024,Paris,Summer,CHN
Cycling Track,MEN’S TEAM SPRINT,Silver,Britain,Great Britain,2024,Paris,Summer,GBR
Diving,WOMEN’S 10M PLATFORM,Silver,Chen Yuxi,China,2024,Paris,Summer,CHN
Equestrian,INDIVIDUAL JUMPING,Silver,Steve Guerdat,Switzerland,2024,Paris,Summer,SUI
Skateboarding,WOMEN’S PARK,Silver,Cocona Hiraki,Japan,2024,Paris,Summer,JPN
Track And Field,WOMEN’S 200M,Silver,Julien Alfred,Saint Lucia,2024,Paris,Summer,LCA
Track And Field,"WOMEN’S 3,000M STEEPLECHASE",Silver,Peruth Chemutai,Uganda,2024,Paris,Summer,UGA
Track And Field,WOMEN’S HAMMER THROW,Silver,Ennette Nneka Echikunwoke,United States,2024,Paris,Summer,USA
Track And Field,"MEN’S 1,500M",Silver,Josh Kerr,Great Britain,2024,Paris,Summer,GBR
Track And Field,MEN’S LONG JUMP,Silver,Wayne Pinnock,Jamaica,2024,Paris,Summer,JAM
Wrestling,MEN’S GRECO-ROMAN 130KG,Silver,Yasmani Acosta Fernandez,Chile,2024,Paris,Summer,CHI
Wrestling,MEN’S GRECO-ROMAN 60KG,Silver,Cao Liguo,China,2024,Paris,Summer,CHN
Wrestling,WOMEN’S FREESTYLE 68KG,Silver,Meerim Zhumanazarova,Kyrgyzstan,2024,Paris,Summer,KGZ
3X3 Basketball,MEN’S 3X3 BASKETBALL,Silver,France,France,2024,Paris,Summer,FRA
3X3 Basketball,WOMEN’S 3X3 BASKETBALL,Silver,Spain,Spain,2024,Paris,Summer,ESP
Badminton,MEN’S SINGLES,Silver,Kunlavut Vitidsarn,Thailand,2024,Paris,Summer,THA
Badminton,WOMEN’S SINGLES,Silver,He Bing Jiao,China,2024,Paris,Summer,CHN
Canoe Slalom,MEN’S KAYAK CROSS,Silver,Joseph Clarke,Great Britain,2024,Paris,Summer,GBR
Canoe Slalom,WOMEN’S KAYAK CROSS,Silver,Angele Hug,France,2024,Paris,Summer,FRA
Cycling Track,WOMEN’S TEAM SPRINT,Silver,New Zealand,New Zealand,2024,Paris,Summer,NZL
Gymnastics,MEN’S HORIZONTAL BAR,Silver,Angel Barajas,Colombia,2024,Paris,Summer,COL
Gymnastics,MEN’S PARALLEL BARS,Silver,Illia Kovtun,Ukraine,2024,Paris,Summer,UKR
Gymnastics,WOMEN’S BALANCE BEAM,Silver,Zhou Yaqin,China,2024,Paris,Summer,CHN
Gymnastics,WOMEN’S FLOOR EXERCISE,Silver,Simone Biles,United States,2024,Paris,Summer,USA
Shooting,MEN’S 25M RAPID FIRE PISTOL,Silver,Cho Yeong-jae,South Korea,2024,Paris,Summer,KOR
Shooting,MIXED TEAM SKEET,Silver,Austen Smith and Vincent Hancock,United States,2024,Paris,Summer,USA
Surfing,MEN,Silver,Jack Robinson,Australia,2024,Paris,Summer,ANZ
Surfing,WOMEN,Silver,Tatiana Weston-Webb,Brazil,2024,Paris,Summer,BRA
Track And Field,MEN’S POLE VAULT,Silver,Sam Kendricks,United States,2024,Paris,Summer,USA
Track And Field,WOMEN’S 800M,Silver,Tsige Duguma,Ethiopia,2024,Paris,Summer,ETH
Track And Field,WOMEN’S 5000M,Silver,Faith Kipyegon,Kenya,2024,Paris,Summer,KEN
Track And Field,WOMEN’S DISCUS THROW,Silver,Feng Bin,China,2024,Paris,Summer,CHN
Triathlon,MIXED RELAY,Silver,United States,United States,2024,Paris,Summer,USA
Archery,MEN’S INDIVIDUAL,Silver,Brady Ellison,United States,2024,Paris,Summer,USA
Artistic Gymnastics,MEN’S RINGS,Silver,Zou Jingyuan,China,2024,Paris,Summer,CHN
Artistic Gymnastics,MEN’S VAULT,Silver,Artur Davtyan,Armenia,2024,Paris,Summer,ARM
Artistic Gymnastics,WOMEN’S UNEVEN BARS,Silver,Qui Qiyuan,China,2024,Paris,Summer,CHN
Badminton,MEN’S DOUBLES,Silver,Liang Wei Keng and Wang Chang,China,2024,Paris,Summer,CHN
Cycling,WOMEN’S ROAD RACE,Silver,Marianne Vos,Netherlands,2024,Paris,Summer,NED
Equestrian,DRESSAGE INDIVIDUAL,Silver,Isabell Werth,Germany,2024,Paris,Summer,FRG
Fencing,MEN’S FOIL TEAM,Silver,Italy,Italy,2024,Paris,Summer,ITA
Golf,MEN’S INDIVIDUAL,Silver,Tommy Fleetwood,Great Britain,2024,Paris,Summer,GBR
Shooting,WOMEN’S SKEET,Silver,Amber Rutter,Great Britain,2024,Paris,Summer,GBR
Swimming,WOMEN’S 50M FREESTYLE,Silver,Meg Harris,Australia,2024,Paris,Summer,ANZ
Swimming,WOMEN’S 4x100M MEDLEY RELAY,Silver,Australia,Australia,2024,Paris,Summer,ANZ
Swimming,MEN’S 1500M FREESTYLE,Silver,Gregorio Paltrinieri,Italy,2024,Paris,Summer,ITA
Swimming,MEN’S 4x100M MEDLEY RELAY,Silver,United States,United States,2024,Paris,Summer,USA
Table Tennis,MEN’S SINGLES,Silver,Truls Moregard,Sweden,2024,Paris,Summer,SWE
Tennis,MEN’S SINGLES,Silver,Carlos Alcaraz,Spain,2024,Paris,Summer,ESP
Tennis,WOMEN’S DOUBLES,Silver,Mirra Andreeva and Diana Shnaider,Belarus,2024,Paris,Summer,BLR
Track And Field,MEN’S 100M,Silver,Kishane Thompson,Jamaica,2024,Paris,Summer,JAM
Track And Field,MEN’S HAMMER THROW,Silver,Bence Halasz,Hungary,2024,Paris,Summer,HUN
Track And Field,WOMEN’S HIGH JUMP,Silver,Nicola Olyslagers,Australia,2024,Paris,Summer,ANZ
Archery,WOMEN’S INDIVIDUAL,Silver,Nam Su-hyeon,South Korea,2024,Paris,Summer,KOR
Artistic Gymnastics,MEN’S FLOOR EXERCISE,Silver,Artem Dolgopyat,Israel,2024,Paris,Summer,ISR
Artistic Gymnastics,MEN’S POMMEL HORSE,Silver,Nariman Kurbanov,Kazakhstan,2024,Paris,Summer,KAZ
Artistic Gymnastics,WOMEN’S VAULT,Silver,Rebeca Andrade,Brazil,2024,Paris,Summer,BRA
Badminton,WOMEN’S DOUBLES,Silver,Liu Shengshu and Tan Ning,China,2024,Paris,Summer,CHN
Cycling,MEN’S ROAD RACE,Silver,Valentin Madouas,France,2024,Paris,Summer,FRA
Equestrian,DRESSAGE TEAM,Silver,Denmark,Denmark,2024,Paris,Summer,DEN
Fencing,WOMEN’S TEAM SABER,Silver,South Korea,South Korea,2024,Paris,Summer,KOR
Judo,MIXED TEAM,Silver,Japan,Japan,2024,Paris,Summer,JPN
Rowing,MEN’S EIGHT,Silver,Netherlands,Netherlands,2024,Paris,Summer,NED
Rowing,WOMEN’S EIGHT,Silver,Canada,Canada,2024,Paris,Summer,CAN
Rowing,MEN’S SINGLE SCULLS,Silver,Yauheni Zalaty,Belarus,2024,Paris,Summer,BLR
Rowing,WOMEN’S SINGLE SCULLS,Silver,Emma Twigg,New Zealand,2024,Paris,Summer,NZL
Sailing,MEN’S WINDSURFING,Silver,Grae Morris,Australia,2024,Paris,Summer,ANZ
Sailing,WOMEN’S WINDSURFING,Silver,Sharon Kantor,Israel,2024,Paris,Summer,ISR
Shooting,WOMEN’S 25M PISTOL,Silver,Camille Jedrzejewski,France,2024,Paris,Summer,FRA
Shooting,MEN’S SKEET,Silver,Conner Lynn Prince,United States,2024,Paris,Summer,USA
Swimming,MEN’S 100M BUTTERFLY,Silver,Josh Liendo,Canada,2024,Paris,Summer,CAN
