Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal,Category
Trevor Martin Smith,Great Britain,GBR,Summer,1980,Moskva,Swimming,4x100m medley relay,Bronze,Men
Michelle Marie Smith (-De Bruin),Ireland,IRL,Summer,1996,Atlanta,Swimming,400m freestyle,Gold,Women
Michelle Marie Smith (-De Bruin),Ireland,IRL,Summer,1996,Atlanta,Swimming,200m butterfly,Bronze,Women
Michelle Marie Smith (-De Bruin),Ireland,IRL,Summer,1996,Atlanta,Swimming,200m individual medley,Gold,Women
Michelle Marie Smith (-De Bruin),Ireland,IRL,Summer,1996,Atlanta,Swimming,400m individual medley,Gold,Women
Shannon Smith,Canada,CAN,Summer,1976,Montreal,Swimming,400m freestyle,Bronze,Women
Olivia Smoliga,United States,USA,Summer,2016,Rio de Janeiro,Swimming,4x100m medley relay,Gold,Women
Per Michael Sderlund,Sweden,SWE,Summer,1984,Los Angeles,Swimming,4x100m freestyle relay,Bronze,Men
"Robert Raymond ""Bob"" Sohl",United States,USA,Summer,1948,London,Swimming,200m breaststroke,Bronze,Men
Rebecca Soni,United States,USA,Summer,2008,Beijing,Swimming,100m breaststroke,Silver,Women
Rebecca Soni,United States,USA,Summer,2008,Beijing,Swimming,200m breaststroke,Gold,Women
Rebecca Soni,United States,USA,Summer,2008,Beijing,Swimming,4x100m medley relay,Silver,Women
Rebecca Soni,United States,USA,Summer,2012,London,Swimming,100m breaststroke,Silver,Women
Rebecca Soni,United States,USA,Summer,2012,London,Swimming,200m breaststroke,Gold,Women
Rebecca Soni,United States,USA,Summer,2012,London,Swimming,4x100m medley relay,Gold,Women
Vitaly Ivanovich Sorokin,Soviet Union,URS,Summer,1956,Melbourne,Swimming,4x200m freestyle relay,Bronze,Men
Inge Srensen (-Tabur),Denmark,DEN,Summer,1936,Berlin,Swimming,200m breaststroke,Bronze,Women
Torsten Spanneberg,Germany,GER,Summer,2000,Sydney,Swimming,4x100m medley relay,Bronze,Men
Annie Coupe Speirs (-Coombe),Great Britain,GBR,Summer,1912,Stockholm,Swimming,4x100m freestyle relay,Gold,Women
Walter Percy Spence,Canada,CAN,Summer,1928,Amsterdam,Swimming,4x200m freestyle relay,Bronze,Men
Joan Arlene Spillane,United States,USA,Summer,1960,Roma,Swimming,4x100m freestyle relay,Gold,Women
