Athlete,NOC,Year,Season,City,Sport,Event,Medal,Country
Simone Biles,USA,2020,Summer,Tokyo,Artistic Gymnastics,"Balance Beam, Women",Bronze,United States
,ROC,2020,Summer,Tokyo,Artistic Swimming,"Duet, Women",Gold,Russia
,CHN,2020,Summer,Tokyo,Artistic Swimming,"Duet, Women",Silver,China
,UKR,2020,Summer,Tokyo,Artistic Swimming,"Duet, Women",Bronze,Ukraine
,ROC,2020,Summer,Tokyo,Artistic Swimming,"Team, Women",Gold,Russia
,CHN,2020,Summer,Tokyo,Artistic Swimming,"Team, Women",Silver,China
,UKR,2020,Summer,Tokyo,Artistic Swimming,"Team, Women",Bronze,Ukraine
Lamont Marcell Jacobs,ITA,2020,Summer,Tokyo,Athletics,"100 metres, Men",Gold,Italy
Fred Kerley,USA,2020,Summer,Tokyo,Athletics,"100 metres, Men",Silver,United States
Andre De Grasse,CAN,2020,Summer,Tokyo,Athletics,"100 metres, Men",Bronze,Canada
Andre De Grasse,CAN,2020,Summer,Tokyo,Athletics,"200 metres, Men",Gold,Canada
Kenny Bednarek,USA,2020,Summer,Tokyo,Athletics,"200 metres, Men",Silver,United States
Noah Lyles,USA,2020,Summer,Tokyo,Athletics,"200 metres, Men",Bronze,United States
Steven Gardiner,BAH,2020,Summer,Tokyo,Athletics,"400 metres, Men",Gold,Bahamas
Anthony Zambrano,COL,2020,Summer,Tokyo,Athletics,"400 metres, Men",Silver,Colombia
Kirani James,GRN,2020,Summer,Tokyo,Athletics,"400 metres, Men",Bronze,Grenada
Emmanuel Korir,KEN,2020,Summer,Tokyo,Athletics,"800 metres, Men",Gold,Kenya
Ferguson Rotich,KEN,2020,Summer,Tokyo,Athletics,"800 metres, Men",Silver,Kenya
Patryk Dobek,POL,2020,Summer,Tokyo,Athletics,"800 metres, Men",Bronze,Poland
Jakob Ingebrigtsen,NOR,2020,Summer,Tokyo,Athletics,"1,500 metres, Men",Gold,Norway
Timothy Cheruiyot,KEN,2020,Summer,Tokyo,Athletics,"1,500 metres, Men",Silver,Kenya
Josh Kerr,GBR,2020,Summer,Tokyo,Athletics,"1,500 metres, Men",Bronze,UK
Joshua Cheptegei,UGA,2020,Summer,Tokyo,Athletics,"5,000 metres, Men",Gold,Uganda
Moh Ahmed,CAN,2020,Summer,Tokyo,Athletics,"5,000 metres, Men",Silver,Canada
Paul Chelimo,USA,2020,Summer,Tokyo,Athletics,"5,000 metres, Men",Bronze,United States
Selemon Barega,ETH,2020,Summer,Tokyo,Athletics,"10,000 metres, Men",Gold,Ethiopia
Joshua Cheptegei,UGA,2020,Summer,Tokyo,Athletics,"10,000 metres, Men",Silver,Uganda
Jacob Kiplimo,UGA,2020,Summer,Tokyo,Athletics,"10,000 metres, Men",Bronze,Uganda
Eliud Kipchoge,KEN,2020,Summer,Tokyo,Athletics,"Marathon, Men",Gold,Kenya
Abdi Nageeye,NED,2020,Summer,Tokyo,Athletics,"Marathon, Men",Silver,Netherlands
Bashir Abdi,BEL,2020,Summer,Tokyo,Athletics,"Marathon, Men",Bronze,Belgium
Hansle Parchment,JAM,2020,Summer,Tokyo,Athletics,"110 metres Hurdles, Men",Gold,Jamaica
Grant Holloway,USA,2020,Summer,Tokyo,Athletics,"110 metres Hurdles, Men",Silver,United States
Ronald Levy,JAM,2020,Summer,Tokyo,Athletics,"110 metres Hurdles, Men",Bronze,Jamaica
Karsten Warholm,NOR,2020,Summer,Tokyo,Athletics,"400 metres Hurdles, Men",Gold,Norway
Rai Benjamin,USA,2020,Summer,Tokyo,Athletics,"400 metres Hurdles, Men",Silver,United States
Alison dos Santos,BRA,2020,Summer,Tokyo,Athletics,"400 metres Hurdles, Men",Bronze,Brazil
Soufiane El-Bakkali,MAR,2020,Summer,Tokyo,Athletics,"3,000 metres Steeplechase, Men",Gold,Morocco
Lamecha Girma,ETH,2020,Summer,Tokyo,Athletics,"3,000 metres Steeplechase, Men",Silver,Ethiopia
Benjamin Kigen,KEN,2020,Summer,Tokyo,Athletics,"3,000 metres Steeplechase, Men",Bronze,Kenya
