Athlete,NOC,Year,Season,City,Sport,Event,Medal,Country
Ricarda Funk,GER,2020,Summer,Tokyo,Canoe Slalom,"Kayak Singles, Slalom, Women",Gold,Germany
Maialen Chourraut,ESP,2020,Summer,Tokyo,Canoe Slalom,"Kayak Singles, Slalom, Women",Silver,Spain
Jess Fox,AUS,2020,Summer,Tokyo,Canoe Slalom,"Kayak Singles, Slalom, Women",Bronze,Australia
Jess Fox,AUS,2020,Summer,Tokyo,Canoe Slalom,"Canadian Singles, Slalom, Women",Gold,Australia
Mallory Franklin,GBR,2020,Summer,Tokyo,Canoe Slalom,"Canadian Singles, Slalom, Women",Silver,UK
Andrea Herzog,GER,2020,Summer,Tokyo,Canoe Slalom,"Canadian Singles, Slalom, Women",Bronze,Germany
Sándor Tótka,HUN,2020,Summer,Tokyo,Canoe Sprint,"Kayak Singles, 200 metres, Men",Gold,Hungary
Manfredi Rizza,ITA,2020,Summer,Tokyo,Canoe Sprint,"Kayak Singles, 200 metres, Men",Silver,Italy
Liam Heath,GBR,2020,Summer,Tokyo,Canoe Sprint,"Kayak Singles, 200 metres, Men",Bronze,UK
Bálint Kopasz,HUN,2020,Summer,Tokyo,Canoe Sprint,"Kayak Singles, 1,000 metres, Men",Gold,Hungary
Ádám Varga,HUN,2020,Summer,Tokyo,Canoe Sprint,"Kayak Singles, 1,000 metres, Men",Silver,Hungary
Fernando Pimenta,POR,2020,Summer,Tokyo,Canoe Sprint,"Kayak Singles, 1,000 metres, Men",Bronze,Portugal
,AUS,2020,Summer,Tokyo,Canoe Sprint,"Kayak Doubles, 1,000 metres, Men",Gold,Australia
,GER,2020,Summer,Tokyo,Canoe Sprint,"Kayak Doubles, 1,000 metres, Men",Silver,Germany
,CZE,2020,Summer,Tokyo,Canoe Sprint,"Kayak Doubles, 1,000 metres, Men",Bronze,Czech Republic
,GER,2020,Summer,Tokyo,Canoe Sprint,"Kayak Fours, 500 metres, Men",Gold,Germany
,ESP,2020,Summer,Tokyo,Canoe Sprint,"Kayak Fours, 500 metres, Men",Silver,Spain
,SVK,2020,Summer,Tokyo,Canoe Sprint,"Kayak Fours, 500 metres, Men",Bronze,Slovakia
Isaquias Queiroz,BRA,2020,Summer,Tokyo,Canoe Sprint,"Canadian Singles, 1,000 metres, Men",Gold,Brazil
Liu Hao,CHN,2020,Summer,Tokyo,Canoe Sprint,"Canadian Singles, 1,000 metres, Men",Silver,China
Serghei Tarnovschi,MDA,2020,Summer,Tokyo,Canoe Sprint,"Canadian Singles, 1,000 metres, Men",Bronze,Moldova
,CUB,2020,Summer,Tokyo,Canoe Sprint,"Canadian Doubles, 1,000 metres, Men",Gold,Cuba
,CHN,2020,Summer,Tokyo,Canoe Sprint,"Canadian Doubles, 1,000 metres, Men",Silver,China
,GER,2020,Summer,Tokyo,Canoe Sprint,"Canadian Doubles, 1,000 metres, Men",Bronze,Germany
Lisa Carrington,NZL,2020,Summer,Tokyo,Canoe Sprint,"Kayak Singles, 200 metres, Women",Gold,New Zealand
Teresa Portela,ESP,2020,Summer,Tokyo,Canoe Sprint,"Kayak Singles, 200 metres, Women",Silver,Spain
Emma Jørgensen,DEN,2020,Summer,Tokyo,Canoe Sprint,"Kayak Singles, 200 metres, Women",Bronze,Denmark
Lisa Carrington,NZL,2020,Summer,Tokyo,Canoe Sprint,"Kayak Singles, 500 metres, Women",Gold,New Zealand
Tamara Csipes,HUN,2020,Summer,Tokyo,Canoe Sprint,"Kayak Singles, 500 metres, Women",Silver,Hungary
Emma Jørgensen,DEN,2020,Summer,Tokyo,Canoe Sprint,"Kayak Singles, 500 metres, Women",Bronze,Denmark
,NZL,2020,Summer,Tokyo,Canoe Sprint,"Kayak Doubles, 500 metres, Women",Gold,New Zealand
,POL,2020,Summer,Tokyo,Canoe Sprint,"Kayak Doubles, 500 metres, Women",Silver,Poland
,HUN,2020,Summer,Tokyo,Canoe Sprint,"Kayak Doubles, 500 metres, Women",Bronze,Hungary
,HUN,2020,Summer,Tokyo,Canoe Sprint,"Kayak Fours, 500 metres, Women",Gold,Hungary
,BLR,2020,Summer,Tokyo,Canoe Sprint,"Kayak Fours, 500 metres, Women",Silver,Belarus
,POL,2020,Summer,Tokyo,Canoe Sprint,"Kayak Fours, 500 metres, Women",Bronze,Poland
Nevin Harrison,USA,2020,Summer,Tokyo,Canoe Sprint,"Canadian Singles, 200 metres, Women",Gold,United States
Laurence Vincent-Lapointe,CAN,2020,Summer,Tokyo,Canoe Sprint,"Canadian Singles, 200 metres, Women",Silver,Canada
Liudmyla Luzan,UKR,2020,Summer,Tokyo,Canoe Sprint,"Canadian Singles, 200 metres, Women",Bronze,Ukraine
,CHN,2020,Summer,Tokyo,Canoe Sprint,"Canadian Doubles, 500 metres, Women",Gold,China
,UKR,2020,Summer,Tokyo,Canoe Sprint,"Canadian Doubles, 500 metres, Women",Silver,Ukraine
,CAN,2020,Summer,Tokyo,Canoe Sprint,"Canadian Doubles, 500 metres, Women",Bronze,Canada
Logan Martin,AUS,2020,Summer,Tokyo,Cycling BMX Freestyle,"Park, Men",Gold,Australia
Daniel Dhers,VEN,2020,Summer,Tokyo,Cycling BMX Freestyle,"Park, Men",Silver,Venezuela
Declan Brooks,GBR,2020,Summer,Tokyo,Cycling BMX Freestyle,"Park, Men",Bronze,UK
Charlotte Worthington,GBR,2020,Summer,Tokyo,Cycling BMX Freestyle,"Park, Women",Gold,UK
Hannah Roberts,USA,2020,Summer,Tokyo,Cycling BMX Freestyle,"Park, Women",Silver,United States
Nikita Ducarroz,SUI,2020,Summer,Tokyo,Cycling BMX Freestyle,"Park, Women",Bronze,Switzerland
Niek Kimmann,NED,2020,Summer,Tokyo,Cycling BMX Racing,"BMX, Men",Gold,Netherlands
Kye Whyte,GBR,2020,Summer,Tokyo,Cycling BMX Racing,"BMX, Men",Silver,UK
Carlos Ramírez,COL,2020,Summer,Tokyo,Cycling BMX Racing,"BMX, Men",Bronze,Colombia
Beth Shriever,GBR,2020,Summer,Tokyo,Cycling BMX Racing,"BMX, Women",Gold,UK
Mariana Pajón,COL,2020,Summer,Tokyo,Cycling BMX Racing,"BMX, Women",Silver,Colombia
Merel Smulders,NED,2020,Summer,Tokyo,Cycling BMX Racing,"BMX, Women",Bronze,Netherlands
Tom Pidcock,GBR,2020,Summer,Tokyo,Cycling Mountain Bike,"Cross-Country, Men",Gold,UK
Mathias Flückiger,SUI,2020,Summer,Tokyo,Cycling Mountain Bike,"Cross-Country, Men",Silver,Switzerland
David Valero,ESP,2020,Summer,Tokyo,Cycling Mountain Bike,"Cross-Country, Men",Bronze,Spain
Jolanda Neff,SUI,2020,Summer,Tokyo,Cycling Mountain Bike,"Cross-Country, Women",Gold,Switzerland
Sina Frei,SUI,2020,Summer,Tokyo,Cycling Mountain Bike,"Cross-Country, Women",Silver,Switzerland
Linda Indergand,SUI,2020,Summer,Tokyo,Cycling Mountain Bike,"Cross-Country, Women",Bronze,Switzerland
Richard Carapaz,ECU,2020,Summer,Tokyo,Cycling Road,"Road Race, Individual, Men",Gold,Ecuador
Wout Van Aert,BEL,2020,Summer,Tokyo,Cycling Road,"Road Race, Individual, Men",Silver,Belgium
Tadej Pogačar,SLO,2020,Summer,Tokyo,Cycling Road,"Road Race, Individual, Men",Bronze,Slovenia
Primož Roglič,SLO,2020,Summer,Tokyo,Cycling Road,"Individual Time Trial, Men",Gold,Slovenia
Tom Dumoulin,NED,2020,Summer,Tokyo,Cycling Road,"Individual Time Trial, Men",Silver,Netherlands
Rohan Dennis,AUS,2020,Summer,Tokyo,Cycling Road,"Individual Time Trial, Men",Bronze,Australia
Anna Kiesenhofer,AUT,2020,Summer,Tokyo,Cycling Road,"Road Race, Individual, Women",Gold,Austria
Annemiek van Vleuten,NED,2020,Summer,Tokyo,Cycling Road,"Road Race, Individual, Women",Silver,Netherlands
Elisa Longo Borghini,ITA,2020,Summer,Tokyo,Cycling Road,"Road Race, Individual, Women",Bronze,Italy
Annemiek van Vleuten,NED,2020,Summer,Tokyo,Cycling Road,"Individual Time Trial, Women",Gold,Netherlands
Marlen Reusser,SUI,2020,Summer,Tokyo,Cycling Road,"Individual Time Trial, Women",Silver,Switzerland
Anna van der Breggen,NED,2020,Summer,Tokyo,Cycling Road,"Individual Time Trial, Women",Bronze,Netherlands
Harrie Lavreysen,NED,2020,Summer,Tokyo,Cycling Track,"Sprint, Men",Gold,Netherlands
Jeffrey Hoogland,NED,2020,Summer,Tokyo,Cycling Track,"Sprint, Men",Silver,Netherlands
Jack Carlin,GBR,2020,Summer,Tokyo,Cycling Track,"Sprint, Men",Bronze,UK
Jason Kenny,GBR,2020,Summer,Tokyo,Cycling Track,"Keirin, Men",Gold,UK
Azizul Awang,MAS,2020,Summer,Tokyo,Cycling Track,"Keirin, Men",Silver,Malaysia
Harrie Lavreysen,NED,2020,Summer,Tokyo,Cycling Track,"Keirin, Men",Bronze,Netherlands
,NED,2020,Summer,Tokyo,Cycling Track,"Team Sprint, Men",Gold,Netherlands
,GBR,2020,Summer,Tokyo,Cycling Track,"Team Sprint, Men",Silver,UK
,FRA,2020,Summer,Tokyo,Cycling Track,"Team Sprint, Men",Bronze,France
,ITA,2020,Summer,Tokyo,Cycling Track,"Team Pursuit, 4,000 metres, Men",Gold,Italy
,DEN,2020,Summer,Tokyo,Cycling Track,"Team Pursuit, 4,000 metres, Men",Silver,Denmark
,AUS,2020,Summer,Tokyo,Cycling Track,"Team Pursuit, 4,000 metres, Men",Bronze,Australia
,DEN,2020,Summer,Tokyo,Cycling Track,"Madison, Men",Gold,Denmark
,GBR,2020,Summer,Tokyo,Cycling Track,"Madison, Men",Silver,UK
,FRA,2020,Summer,Tokyo,Cycling Track,"Madison, Men",Bronze,France
Matthew Walls,GBR,2020,Summer,Tokyo,Cycling Track,"Omnium, Men",Gold,UK
Campbell Stewart,NZL,2020,Summer,Tokyo,Cycling Track,"Omnium, Men",Silver,New Zealand
Elia Viviani,ITA,2020,Summer,Tokyo,Cycling Track,"Omnium, Men",Bronze,Italy
Kelsey Mitchell,CAN,2020,Summer,Tokyo,Cycling Track,"Sprint, Women",Gold,Canada
Olena Starikova,UKR,2020,Summer,Tokyo,Cycling Track,"Sprint, Women",Silver,Ukraine
Sarah Lee,HKG,2020,Summer,Tokyo,Cycling Track,"Sprint, Women",Bronze,China
Shanne Braspennincx,NED,2020,Summer,Tokyo,Cycling Track,"Keirin, Women",Gold,Netherlands
Ellesse Andrews,NZL,2020,Summer,Tokyo,Cycling Track,"Keirin, Women",Silver,New Zealand
Lauriane Genest,CAN,2020,Summer,Tokyo,Cycling Track,"Keirin, Women",Bronze,Canada
,CHN,2020,Summer,Tokyo,Cycling Track,"Team Sprint, Women",Gold,China
,GER,2020,Summer,Tokyo,Cycling Track,"Team Sprint, Women",Silver,Germany
,ROC,2020,Summer,Tokyo,Cycling Track,"Team Sprint, Women",Bronze,Russia
,GER,2020,Summer,Tokyo,Cycling Track,"Team Pursuit, Women",Gold,Germany
,GBR,2020,Summer,Tokyo,Cycling Track,"Team Pursuit, Women",Silver,UK
,USA,2020,Summer,Tokyo,Cycling Track,"Team Pursuit, Women",Bronze,United States
Jennifer Valente,USA,2020,Summer,Tokyo,Cycling Track,"Omnium, Women",Gold,United States
Yumi Kajihara,JPN,2020,Summer,Tokyo,Cycling Track,"Omnium, Women",Silver,Japan
Kirsten Wild,NED,2020,Summer,Tokyo,Cycling Track,"Omnium, Women",Bronze,Netherlands
,GBR,2020,Summer,Tokyo,Cycling Track,"Madison, Women",Gold,UK
,DEN,2020,Summer,Tokyo,Cycling Track,"Madison, Women",Silver,Denmark
,ROC,2020,Summer,Tokyo,Cycling Track,"Madison, Women",Bronze,Russia
Xie Siyi,CHN,2020,Summer,Tokyo,Diving,"Springboard, Men",Gold,China
Wang Zongyuan,CHN,2020,Summer,Tokyo,Diving,"Springboard, Men",Silver,China
Jack Laugher,GBR,2020,Summer,Tokyo,Diving,"Springboard, Men",Bronze,UK
Cao Yuan,CHN,2020,Summer,Tokyo,Diving,"Platform, Men",Gold,China
Yang Jian,CHN,2020,Summer,Tokyo,Diving,"Platform, Men",Silver,China
Tom Daley,GBR,2020,Summer,Tokyo,Diving,"Platform, Men",Bronze,UK
,CHN,2020,Summer,Tokyo,Diving,"Synchronized Springboard, Men",Gold,China
,USA,2020,Summer,Tokyo,Diving,"Synchronized Springboard, Men",Silver,United States
,GER,2020,Summer,Tokyo,Diving,"Synchronized Springboard, Men",Bronze,Germany
,GBR,2020,Summer,Tokyo,Diving,"Synchronized Platform, Men",Gold,UK
,CHN,2020,Summer,Tokyo,Diving,"Synchronized Platform, Men",Silver,China
,ROC,2020,Summer,Tokyo,Diving,"Synchronized Platform, Men",Bronze,Russia
Shi Tingmao,CHN,2020,Summer,Tokyo,Diving,"Springboard, Women",Gold,China
Wang Han,CHN,2020,Summer,Tokyo,Diving,"Springboard, Women",Silver,China
Krysta Palmer,USA,2020,Summer,Tokyo,Diving,"Springboard, Women",Bronze,United States
Quan Hongchan,CHN,2020,Summer,Tokyo,Diving,"Platform, Women",Gold,China
Chen Yuxi,CHN,2020,Summer,Tokyo,Diving,"Platform, Women",Silver,China
Melissa Wu,AUS,2020,Summer,Tokyo,Diving,"Platform, Women",Bronze,Australia
,CHN,2020,Summer,Tokyo,Diving,"Synchronized Springboard, Women",Gold,China
,CAN,2020,Summer,Tokyo,Diving,"Synchronized Springboard, Women",Silver,Canada
,GER,2020,Summer,Tokyo,Diving,"Synchronized Springboard, Women",Bronze,Germany
,CHN,2020,Summer,Tokyo,Diving,"Synchronized Platform, Women",Gold,China
,USA,2020,Summer,Tokyo,Diving,"Synchronized Platform, Women",Silver,United States
,MEX,2020,Summer,Tokyo,Diving,"Synchronized Platform, Women",Bronze,Mexico
Jessica von Bredow-Werndl,GER,2020,Summer,Tokyo,Equestrian Dressage,"Individual, Open",Gold,Germany
Isabell Werth,GER,2020,Summer,Tokyo,Equestrian Dressage,"Individual, Open",Silver,Germany
Charlotte Dujardin,GBR,2020,Summer,Tokyo,Equestrian Dressage,"Individual, Open",Bronze,UK
,GER,2020,Summer,Tokyo,Equestrian Dressage,"Team, Open",Gold,Germany
,USA,2020,Summer,Tokyo,Equestrian Dressage,"Team, Open",Silver,United States
,GBR,2020,Summer,Tokyo,Equestrian Dressage,"Team, Open",Bronze,UK
Julia Krajewski,GER,2020,Summer,Tokyo,Equestrian Eventing,"Individual, Open",Gold,Germany
Tom McEwen,GBR,2020,Summer,Tokyo,Equestrian Eventing,"Individual, Open",Silver,UK
Andrew Hoy,AUS,2020,Summer,Tokyo,Equestrian Eventing,"Individual, Open",Bronze,Australia
,GBR,2020,Summer,Tokyo,Equestrian Eventing,"Team, Open",Gold,UK
,AUS,2020,Summer,Tokyo,Equestrian Eventing,"Team, Open",Silver,Australia
,FRA,2020,Summer,Tokyo,Equestrian Eventing,"Team, Open",Bronze,France
Ben Maher,GBR,2020,Summer,Tokyo,Equestrian Jumping,"Individual, Open",Gold,UK
Peder Fredricson,SWE,2020,Summer,Tokyo,Equestrian Jumping,"Individual, Open",Silver,Sweden
Maikel van der Vleuten,NED,2020,Summer,Tokyo,Equestrian Jumping,"Individual, Open",Bronze,Netherlands
,SWE,2020,Summer,Tokyo,Equestrian Jumping,"Team, Open",Gold,Sweden
,USA,2020,Summer,Tokyo,Equestrian Jumping,"Team, Open",Silver,United States
,BEL,2020,Summer,Tokyo,Equestrian Jumping,"Team, Open",Bronze,Belgium
Edgar Cheung,HKG,2020,Summer,Tokyo,Fencing,"Foil, Individual, Men",Gold,China
Daniele Garozzo,ITA,2020,Summer,Tokyo,Fencing,"Foil, Individual, Men",Silver,Italy
Alexander Choupenitch,CZE,2020,Summer,Tokyo,Fencing,"Foil, Individual, Men",Bronze,Czech Republic
,FRA,2020,Summer,Tokyo,Fencing,"Foil, Team, Men",Gold,France
,ROC,2020,Summer,Tokyo,Fencing,"Foil, Team, Men",Silver,Russia
,USA,2020,Summer,Tokyo,Fencing,"Foil, Team, Men",Bronze,United States
Romain Cannone,FRA,2020,Summer,Tokyo,Fencing,"Épée, Individual, Men",Gold,France
Gergely Siklósi,HUN,2020,Summer,Tokyo,Fencing,"Épée, Individual, Men",Silver,Hungary
Ihor Reizlin,UKR,2020,Summer,Tokyo,Fencing,"Épée, Individual, Men",Bronze,Ukraine
,JPN,2020,Summer,Tokyo,Fencing,"Épée, Team, Men",Gold,Japan
,ROC,2020,Summer,Tokyo,Fencing,"Épée, Team, Men",Silver,Russia
,KOR,2020,Summer,Tokyo,Fencing,"Épée, Team, Men",Bronze,South Korea
Áron Szilágyi,HUN,2020,Summer,Tokyo,Fencing,"Sabre, Individual, Men",Gold,Hungary
Luigi Samele,ITA,2020,Summer,Tokyo,Fencing,"Sabre, Individual, Men",Silver,Italy
Kim Jeong-Hwan,KOR,2020,Summer,Tokyo,Fencing,"Sabre, Individual, Men",Bronze,South Korea
,KOR,2020,Summer,Tokyo,Fencing,"Sabre, Team, Men",Gold,South Korea
,ITA,2020,Summer,Tokyo,Fencing,"Sabre, Team, Men",Silver,Italy
,HUN,2020,Summer,Tokyo,Fencing,"Sabre, Team, Men",Bronze,Hungary
Lee Kiefer,USA,2020,Summer,Tokyo,Fencing,"Foil, Individual, Women",Gold,United States
Inna Deriglazova,ROC,2020,Summer,Tokyo,Fencing,"Foil, Individual, Women",Silver,Russia
Larisa Korobeynikova,ROC,2020,Summer,Tokyo,Fencing,"Foil, Individual, Women",Bronze,Russia
,ROC,2020,Summer,Tokyo,Fencing,"Foil, Team, Women",Gold,Russia
,FRA,2020,Summer,Tokyo,Fencing,"Foil, Team, Women",Silver,France
,ITA,2020,Summer,Tokyo,Fencing,"Foil, Team, Women",Bronze,Italy
Sun Yiwen,CHN,2020,Summer,Tokyo,Fencing,"Épée, Individual, Women",Gold,China
Ana Maria Popescu,ROU,2020,Summer,Tokyo,Fencing,"Épée, Individual, Women",Silver,Romania
Katrina Lehis,EST,2020,Summer,Tokyo,Fencing,"Épée, Individual, Women",Bronze,Estonia
,EST,2020,Summer,Tokyo,Fencing,"Épée, Team, Women",Gold,Estonia
,KOR,2020,Summer,Tokyo,Fencing,"Épée, Team, Women",Silver,South Korea
,ITA,2020,Summer,Tokyo,Fencing,"Épée, Team, Women",Bronze,Italy
Sofiya Pozdnyakova,ROC,2020,Summer,Tokyo,Fencing,"Sabre, Individual, Women",Gold,Russia
Sofya Velikaya,ROC,2020,Summer,Tokyo,Fencing,"Sabre, Individual, Women",Silver,Russia
Manon Brunet,FRA,2020,Summer,Tokyo,Fencing,"Sabre, Individual, Women",Bronze,France
,ROC,2020,Summer,Tokyo,Fencing,"Sabre, Team, Women",Gold,Russia
,FRA,2020,Summer,Tokyo,Fencing,"Sabre, Team, Women",Silver,France
,KOR,2020,Summer,Tokyo,Fencing,"Sabre, Team, Women",Bronze,South Korea
,BRA,2020,Summer,Tokyo,Football,"Football, Men",Gold,Brazil
,ESP,2020,Summer,Tokyo,Football,"Football, Men",Silver,Spain
,MEX,2020,Summer,Tokyo,Football,"Football, Men",Bronze,Mexico
,CAN,2020,Summer,Tokyo,Football,"Football, Women",Gold,Canada
,SWE,2020,Summer,Tokyo,Football,"Football, Women",Silver,Sweden
,USA,2020,Summer,Tokyo,Football,"Football, Women",Bronze,United States
Xander Schauffele,USA,2020,Summer,Tokyo,Golf,"Individual, Men",Gold,United States
Rory Sabbatini,SVK,2020,Summer,Tokyo,Golf,"Individual, Men",Silver,Slovakia
C. T. Pan,TPE,2020,Summer,Tokyo,Golf,"Individual, Men",Bronze,Taiwan
Nelly Korda,USA,2020,Summer,Tokyo,Golf,"Individual, Women",Gold,United States
Mone Inami,JPN,2020,Summer,Tokyo,Golf,"Individual, Women",Silver,Japan
Lydia Ko,NZL,2020,Summer,Tokyo,Golf,"Individual, Women",Bronze,New Zealand
,FRA,2020,Summer,Tokyo,Handball,"Handball, Men",Gold,France
,DEN,2020,Summer,Tokyo,Handball,"Handball, Men",Silver,Denmark
,ESP,2020,Summer,Tokyo,Handball,"Handball, Men",Bronze,Spain
,FRA,2020,Summer,Tokyo,Handball,"Handball, Women",Gold,France
,ROC,2020,Summer,Tokyo,Handball,"Handball, Women",Silver,Russia
,NOR,2020,Summer,Tokyo,Handball,"Handball, Women",Bronze,Norway
,BEL,2020,Summer,Tokyo,Hockey,"Hockey, Men",Gold,Belgium
,AUS,2020,Summer,Tokyo,Hockey,"Hockey, Men",Silver,Australia
,IND,2020,Summer,Tokyo,Hockey,"Hockey, Men",Bronze,India
,NED,2020,Summer,Tokyo,Hockey,"Hockey, Women",Gold,Netherlands
,ARG,2020,Summer,Tokyo,Hockey,"Hockey, Women",Silver,Argentina
,GBR,2020,Summer,Tokyo,Hockey,"Hockey, Women",Bronze,UK
Naohisa Takato,JPN,2020,Summer,Tokyo,Judo,"Extra-Lightweight, Men",Gold,Japan
Yang Yung-Wei,TPE,2020,Summer,Tokyo,Judo,"Extra-Lightweight, Men",Silver,Taiwan
Hifumi Abe,JPN,2020,Summer,Tokyo,Judo,"Half-Lightweight, Men",Gold,Japan
Vazha Margvelashvili,GEO,2020,Summer,Tokyo,Judo,"Half-Lightweight, Men",Silver,Georgia
Shohei Ono,JPN,2020,Summer,Tokyo,Judo,"Lightweight, Men",Gold,Japan
Lasha Shavdatuashvili,GEO,2020,Summer,Tokyo,Judo,"Lightweight, Men",Silver,Georgia
Takanori Nagase,JPN,2020,Summer,Tokyo,Judo,"Half-Middleweight, Men",Gold,Japan
Saeid Mollaei,MGL,2020,Summer,Tokyo,Judo,"Half-Middleweight, Men",Silver,Mongolia
Lasha Bekauri,GEO,2020,Summer,Tokyo,Judo,"Middleweight, Men",Gold,Georgia
Eduard Trippel,GER,2020,Summer,Tokyo,Judo,"Middleweight, Men",Silver,Germany
Aaron Wolf,JPN,2020,Summer,Tokyo,Judo,"Half-Heavyweight, Men",Gold,Japan
Jo Gu-Ham,KOR,2020,Summer,Tokyo,Judo,"Half-Heavyweight, Men",Silver,South Korea
Lukáš Krpálek,CZE,2020,Summer,Tokyo,Judo,"Heavyweight, Men",Gold,Czech Republic
Guram Tushishvili,GEO,2020,Summer,Tokyo,Judo,"Heavyweight, Men",Silver,Georgia
Distria Krasniqi,KOS,2020,Summer,Tokyo,Judo,"Extra-Lightweight, Women",Gold,Kosovo
Funa Tonaki,JPN,2020,Summer,Tokyo,Judo,"Extra-Lightweight, Women",Silver,Japan
Uta Abe,JPN,2020,Summer,Tokyo,Judo,"Half-Lightweight, Women",Gold,Japan
Amandine Buchard,FRA,2020,Summer,Tokyo,Judo,"Half-Lightweight, Women",Silver,France
Nora Gjakova,KOS,2020,Summer,Tokyo,Judo,"Lightweight, Women",Gold,Kosovo
Sarah-Léonie Cysique,FRA,2020,Summer,Tokyo,Judo,"Lightweight, Women",Silver,France
Clarisse Agbegnenou,FRA,2020,Summer,Tokyo,Judo,"Half-Middleweight, Women",Gold,France
Tina Trstenjak,SLO,2020,Summer,Tokyo,Judo,"Half-Middleweight, Women",Silver,Slovenia
Chizuru Arai,JPN,2020,Summer,Tokyo,Judo,"Middleweight, Women",Gold,Japan
Michaela Polleres,AUT,2020,Summer,Tokyo,Judo,"Middleweight, Women",Silver,Austria
Shori Hamada,JPN,2020,Summer,Tokyo,Judo,"Half-Heavyweight, Women",Gold,Japan
Madeleine Malonga,FRA,2020,Summer,Tokyo,Judo,"Half-Heavyweight, Women",Silver,France
Akira Sone,JPN,2020,Summer,Tokyo,Judo,"Heavyweight, Women",Gold,Japan
Idalys Ortiz,CUB,2020,Summer,Tokyo,Judo,"Heavyweight, Women",Silver,Cuba
FRA,JPN,2020,Summer,Tokyo,Judo,"Team, Mixed",Gold,Japan
GER,ISR,2020,Summer,Tokyo,Judo,"Team, Mixed",Silver,Israel
[],,2020,Summer,Tokyo,Judo,"Team, Mixed",Bronze,
Ryo Kiyuna,JPN,2020,Summer,Tokyo,Karate,"Kata, Men",Gold,Japan
Damián Quintero,ESP,2020,Summer,Tokyo,Karate,"Kata, Men",Silver,Spain
Steven Da Costa,FRA,2020,Summer,Tokyo,Karate,"Kumite, ≤67 kg, Men",Gold,France
Eray Şamdan,TUR,2020,Summer,Tokyo,Karate,"Kumite, ≤67 kg, Men",Silver,Turkey
Luigi Busà,ITA,2020,Summer,Tokyo,Karate,"Kumite, ≤75 kg, Men",Gold,Italy
Rəfael Ağayev,AZE,2020,Summer,Tokyo,Karate,"Kumite, ≤75 kg, Men",Silver,Azerbaijan
Sajad Ganjzadeh,IRI,2020,Summer,Tokyo,Karate,"Kumite, >75 kg, Men",Gold,Iran
Tareg Hamedi,KSA,2020,Summer,Tokyo,Karate,"Kumite, >75 kg, Men",Silver,Saudi Arabia
Sandra Sánchez,ESP,2020,Summer,Tokyo,Karate,"Kata, Women",Gold,Spain
Kiyou Shimizu,JPN,2020,Summer,Tokyo,Karate,"Kata, Women",Silver,Japan
Ivet Goranova,BUL,2020,Summer,Tokyo,Karate,"Kumite, ≤55 kg, Women",Gold,Bulgaria
Anzhelika Terliuha,UKR,2020,Summer,Tokyo,Karate,"Kumite, ≤55 kg, Women",Silver,Ukraine
Jovana Preković,SRB,2020,Summer,Tokyo,Karate,"Kumite, ≤61 kg, Women",Gold,Serbia
Yin Xiaoyan,CHN,2020,Summer,Tokyo,Karate,"Kumite, ≤61 kg, Women",Silver,China
Feryal Ashraf,EGY,2020,Summer,Tokyo,Karate,"Kumite, >61 kg, Women",Gold,Egypt
İrina Zaretska,AZE,2020,Summer,Tokyo,Karate,"Kumite, >61 kg, Women",Silver,Azerbaijan
Florian Wellbrock,GER,2020,Summer,Tokyo,Marathon Swimming,"10 kilometres Open Water, Men",Gold,Germany
Kristóf Rasovszky,HUN,2020,Summer,Tokyo,Marathon Swimming,"10 kilometres Open Water, Men",Silver,Hungary
Gregorio Paltrinieri,ITA,2020,Summer,Tokyo,Marathon Swimming,"10 kilometres Open Water, Men",Bronze,Italy
Ana Marcela Cunha,BRA,2020,Summer,Tokyo,Marathon Swimming,"10 kilometres Open Water, Women",Gold,Brazil
Sharon van Rouwendaal,NED,2020,Summer,Tokyo,Marathon Swimming,"10 kilometres Open Water, Women",Silver,Netherlands
Kareena Lee,AUS,2020,Summer,Tokyo,Marathon Swimming,"10 kilometres Open Water, Women",Bronze,Australia
Joe Choong,GBR,2020,Summer,Tokyo,Modern Pentathlon,"Individual, Men",Gold,UK
Ahmed El-Gendy,EGY,2020,Summer,Tokyo,Modern Pentathlon,"Individual, Men",Silver,Egypt
Jeon Ung-Tae,KOR,2020,Summer,Tokyo,Modern Pentathlon,"Individual, Men",Bronze,South Korea
Kate French,GBR,2020,Summer,Tokyo,Modern Pentathlon,"Individual, Women",Gold,UK
Laura Asadauskaitė,LTU,2020,Summer,Tokyo,Modern Pentathlon,"Individual, Women",Silver,Lithuania
Sarolta Kovács,HUN,2020,Summer,Tokyo,Modern Pentathlon,"Individual, Women",Bronze,Hungary
Linoy Ashram,ISR,2020,Summer,Tokyo,Rhythmic Gymnastics,"Individual, Women",Gold,Israel
Dina Averina,ROC,2020,Summer,Tokyo,Rhythmic Gymnastics,"Individual, Women",Silver,Russia
Alina Harnasko,BLR,2020,Summer,Tokyo,Rhythmic Gymnastics,"Individual, Women",Bronze,Belarus
,BUL,2020,Summer,Tokyo,Rhythmic Gymnastics,"Group, Women",Gold,Bulgaria
,ROC,2020,Summer,Tokyo,Rhythmic Gymnastics,"Group, Women",Silver,Russia
,ITA,2020,Summer,Tokyo,Rhythmic Gymnastics,"Group, Women",Bronze,Italy
Stefanos Ntouskos,GRE,2020,Summer,Tokyo,Rowing,"Single Sculls, Men",Gold,Greece
Kjetil Borch,NOR,2020,Summer,Tokyo,Rowing,"Single Sculls, Men",Silver,Norway
