Name,Team,NOC,Season,Year,City,Sport,Event,Medal
Humberto Mariles Corts,Mexico,MEX,Summer,1948,London,Equestrianism,"Equestrianism Men's Jumping, Team",Gold
Humberto Mariles Corts,Mexico,MEX,Summer,1948,London,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Bronze
Carolina Mara Marn Marn,Spain,ESP,Summer,2016,Rio de Janeiro,Badminton,Badminton Women's Singles,Gold
"Corneliu ""Cornel"" Marin",Romania,ROU,Summer,1976,Montreal,Fencing,"Fencing Men's Sabre, Team",Bronze
"Corneliu ""Cornel"" Marin",Romania,ROU,Summer,1984,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Bronze
Dan Marin,Romania,ROU,Summer,1972,Munich,Handball,Handball Men's Handball,Bronze
Claudiu Gabriel Marin,Romania,ROU,Summer,1992,Barcelona,Rowing,Rowing Men's Coxed Eights,Silver
Marco Marin,Italy,ITA,Summer,1984,Los Angeles,Fencing,"Fencing Men's Sabre, Individual",Silver
Marco Marin,Italy,ITA,Summer,1984,Los Angeles,Fencing,"Fencing Men's Sabre, Team",Gold
Marco Marin,Italy,ITA,Summer,1988,Seoul,Fencing,"Fencing Men's Sabre, Team",Bronze
Marco Marin,Italy,ITA,Summer,1992,Barcelona,Fencing,"Fencing Men's Sabre, Individual",Silver
Alexandra Marinescu,Romania,ROU,Summer,1996,Atlanta,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Tecla Marinescu-Borcnea (Afanasie-),Romania,ROU,Summer,1984,Los Angeles,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",Gold
Fiorenzo Marini,Italy,ITA,Summer,1948,London,Fencing,"Fencing Men's epee, Team",Silver
Fiorenzo Marini,Italy,ITA,Summer,1960,Roma,Fencing,"Fencing Men's epee, Team",Gold
Sofia Marinou,Greece,GRE,Summer,1906,Athina,Tennis,Tennis Women's Singles,Silver
Sofia Marinou,Greece-1,GRE,Summer,1906,Athina,Tennis,Tennis Mixed Doubles,Silver
Martin Georgiev Marinov,Bulgaria,BUL,Summer,1988,Seoul,Canoeing,"Canoeing Men's Canadian Singles, 500 metres",Bronze
Martin Georgiev Marinov,Bulgaria,BUL,Summer,1992,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, 500 metres",Bronze
Sevdalin Iliyanov Marinov,Bulgaria,BUL,Summer,1988,Seoul,Weightlifting,Weightlifting Men's Flyweight,Gold
Tereza Moncheva Marinova,Bulgaria,BUL,Summer,2000,Sydney,Athletics,Athletics Women's Triple Jump,Gold
Zornitsa Marinova,Bulgaria,BUL,Summer,2004,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Bronze
Charles Lonce Pierre Marion,France,FRA,Summer,1928,Amsterdam,Equestrianism,"Equestrianism Men's Dressage, Individual",Silver
Charles Lonce Pierre Marion,France,FRA,Summer,1932,Los Angeles,Equestrianism,"Equestrianism Men's Dressage, Individual",Silver
Charles Lonce Pierre Marion,France,FRA,Summer,1932,Los Angeles,Equestrianism,"Equestrianism Men's Dressage, Team",Gold
Shawn Dwayne Marion,United States,USA,Summer,2004,Athina,Basketball,Basketball Men's Basketball,Bronze
Gnter Maritschnigg,Germany,GER,Summer,1960,Roma,Wrestling,"Wrestling Men's Welterweight, Greco-Roman",Silver
Poul Srensen Mark,Denmark,DEN,Summer,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Silver
Russell Andrew Mark,Australia,AUS,Summer,1996,Atlanta,Shooting,Shooting Men's Double Trap,Gold
Russell Andrew Mark,Australia,AUS,Summer,2000,Sydney,Shooting,Shooting Men's Double Trap,Silver
Boris Nikitich Markarov,Soviet Union,URS,Summer,1956,Melbourne,Water Polo,Water Polo Men's Water Polo,Bronze
Vladimir Nikolayevich Markelov,Soviet Union,URS,Summer,1976,Montreal,Gymnastics,Gymnastics Men's Team All-Around,Silver
Vladimir Nikolayevich Markelov,Soviet Union,URS,Summer,1980,Moskva,Gymnastics,Gymnastics Men's Team All-Around,Gold
Piotr Markiewicz,Poland,POL,Summer,1996,Atlanta,Canoeing,"Canoeing Men's Kayak Singles, 500 metres",Bronze
Viktor Fyodorovich Markin,Soviet Union,URS,Summer,1980,Moskva,Athletics,Athletics Men's 400 metres,Gold
Viktor Fyodorovich Markin,Soviet Union,URS,Summer,1980,Moskva,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Matti Markkanen,Finland,FIN,Summer,1908,London,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Vin Johannes Markkanen,Finland,FIN,Summer,1964,Tokyo,Shooting,"Shooting Men's Free Pistol, 50 metres",Gold
Jadwiga Marko-Ksiek,Poland,POL,Summer,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,Bronze
Jadwiga Marko-Ksiek,Poland,POL,Summer,1968,Mexico City,Volleyball,Volleyball Women's Volleyball,Bronze
Aleksey Mikhaylovich Markov,Russia,RUS,Summer,1996,Atlanta,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Silver
Aleksey Mikhaylovich Markov,Russia,RUS,Summer,2000,Sydney,Cycling,Cycling Men's Points Race,Bronze
Aleksey Mikhaylovich Markov,Russia,RUS,Summer,2008,Beijing,Cycling,Cycling Men's Madison,Bronze
Georgi Markov,Bulgaria,BUL,Summer,2000,Sydney,Weightlifting,Weightlifting Men's Lightweight,Silver
Georgi Markov,Bulgaria,BUL,Summer,1972,Munich,Wrestling,"Wrestling Men's Featherweight, Greco-Roman",Gold
Ilya Vladislavovich Markov,Russia,RUS,Summer,1996,Atlanta,Athletics,Athletics Men's 20 kilometres Walk,Silver
Khristo Ganchev Markov,Bulgaria,BUL,Summer,1988,Seoul,Athletics,Athletics Men's Triple Jump,Gold
Stefan Markovi,Serbia,SRB,Summer,2016,Rio de Janeiro,Basketball,Basketball Men's Basketball,Silver
Klmn Markovits de Spizza et Kisterpest,Hungary,HUN,Summer,1952,Helsinki,Water Polo,Water Polo Men's Water Polo,Gold
Klmn Markovits de Spizza et Kisterpest,Hungary,HUN,Summer,1956,Melbourne,Water Polo,Water Polo Men's Water Polo,Gold
Klmn Markovits de Spizza et Kisterpest,Hungary,HUN,Summer,1960,Roma,Water Polo,Water Polo Men's Water Polo,Bronze
Aleksey Viktorovich Markovsky,Soviet Union,URS,Summer,1980,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Silver
Erzsbet Mrkus-Peresztegi,Hungary,HUN,Summer,2000,Sydney,Weightlifting,Weightlifting Women's Light-Heavyweight,Silver
Halyna Petrivna Markushevska,Ukraine,UKR,Summer,2004,Athina,Handball,Handball Women's Handball,Bronze
Niels Peter Markussen,Denmark,DEN,Summer,1968,Mexico City,Sailing,Sailing Mixed Three Person Keelboat,Silver
Robert Davies Marland,Canada,CAN,Summer,1992,Barcelona,Rowing,Rowing Men's Coxed Eights,Gold
"Christian F. ""Chris"" Marlowe",United States,USA,Summer,1984,Los Angeles,Volleyball,Volleyball Men's Volleyball,Gold
Zoran Maroevi,Yugoslavia,YUG,Summer,1968,Mexico City,Basketball,Basketball Men's Basketball,Silver
McKayla Rose Maroney,United States,USA,Summer,2012,London,Gymnastics,Gymnastics Women's Team All-Around,Gold
McKayla Rose Maroney,United States,USA,Summer,2012,London,Gymnastics,Gymnastics Women's Horse Vault,Silver
"Magdolna ""Magda"" Maros",Hungary,HUN,Summer,1976,Montreal,Fencing,"Fencing Women's Foil, Team",Bronze
"Magdolna ""Magda"" Maros",Hungary,HUN,Summer,1980,Moskva,Fencing,"Fencing Women's Foil, Individual",Silver
"Magdolna ""Magda"" Maros",Hungary,HUN,Summer,1980,Moskva,Fencing,"Fencing Women's Foil, Team",Bronze
dm Marosi,Hungary,HUN,Summer,2012,London,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
Jzsef Marosi,Hungary,HUN,Summer,1956,Melbourne,Fencing,"Fencing Men's Foil, Team",Bronze
Jzsef Marosi,Hungary,HUN,Summer,1956,Melbourne,Fencing,"Fencing Men's epee, Team",Silver
Paula Marosi (-Fldessy),Hungary,HUN,Summer,1964,Tokyo,Fencing,"Fencing Women's Foil, Team",Gold
Paula Marosi (-Fldessy),Hungary,HUN,Summer,1968,Mexico City,Fencing,"Fencing Women's Foil, Team",Silver
Pter Mart,Hungary,HUN,Summer,1972,Munich,Fencing,"Fencing Men's Sabre, Individual",Silver
Pter Mart,Hungary,HUN,Summer,1972,Munich,Fencing,"Fencing Men's Sabre, Team",Bronze
Georgios Maroulis,"Phalainis ton Thorichtou ""Hydra""-2",GRE,Summer,1906,Athina,Rowing,Rowing Men's 6-Man Naval Rowing Boats,Bronze
Helen Louise Maroulis,United States,USA,Summer,2016,Rio de Janeiro,Wrestling,"Wrestling Women's Featherweight, Freestyle",Gold
Antonio Marovelli,Italy,ITA,Summer,1920,Antwerpen,Gymnastics,Gymnastics Men's Team All-Around,Gold
Uro Marovi,Yugoslavia,YUG,Summer,1968,Mexico City,Water Polo,Water Polo Men's Water Polo,Gold
Dzsenifer Marozsn,Germany,GER,Summer,2016,Rio de Janeiro,Football,Football Women's Football,Gold
Darcy Marquardt,Canada,CAN,Summer,2012,London,Rowing,Rowing Women's Coxed Eights,Silver
Armando da Silva Marques,Portugal,POR,Summer,1976,Montreal,Shooting,Shooting Mixed Trap,Silver
Wlamir Marques,Brazil,BRA,Summer,1960,Roma,Basketball,Basketball Men's Basketball,Bronze
Wlamir Marques,Brazil,BRA,Summer,1964,Tokyo,Basketball,Basketball Men's Basketball,Bronze
Yane Mrcia Campos da Fonseca Marques,Brazil,BRA,Summer,2012,London,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze
"Marcos ""Marquinhos"" Aos Corra",Brazil,BRA,Summer,2016,Rio de Janeiro,Football,Football Men's Football,Gold
Gail Annette Marquis,United States,USA,Summer,1976,Montreal,Basketball,Basketball Women's Basketball,Silver
Andrea Marrazzi,Italy,ITA,Summer,1920,Antwerpen,Fencing,"Fencing Men's epee, Team",Gold
Gareth John Marriott,Great Britain,GBR,Summer,1992,Barcelona,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
"Davit ""Dato"" Marsagishvili",Georgia,GEO,Summer,2012,London,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
