Name,Team,NOC,Season,Year,City,Sport,Event,Medal
Edgar Lindenau Aabye,Denmark/Sweden,DEN,Summer,1900,Paris,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,Gold
Arvo Ossian Aaltonen,Finland,FIN,Summer,1920,Antwerpen,Swimming,Swimming Men's 200 metres Breaststroke,Bronze
Arvo Ossian Aaltonen,Finland,FIN,Summer,1920,Antwerpen,Swimming,Swimming Men's 400 metres Breaststroke,Bronze
Paavo Johannes Aaltonen,Finland,FIN,Summer,1948,London,Gymnastics,Gymnastics Men's Individual All-Around,Bronze
Paavo Johannes Aaltonen,Finland,FIN,Summer,1948,London,Gymnastics,Gymnastics Men's Team All-Around,Gold
Paavo Johannes Aaltonen,Finland,FIN,Summer,1948,London,Gymnastics,Gymnastics Men's Horse Vault,Gold
Paavo Johannes Aaltonen,Finland,FIN,Summer,1948,London,Gymnastics,Gymnastics Men's Pommelled Horse,Gold
Paavo Johannes Aaltonen,Finland,FIN,Summer,1952,Helsinki,Gymnastics,Gymnastics Men's Team All-Around,Bronze
Ragnhild Margrethe Aamodt,Norway,NOR,Summer,2008,Beijing,Handball,Handball Women's Handball,Gold
Alf Lied Aanning,Norway,NOR,Summer,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
Willemien Aardenburg,Netherlands,NED,Summer,1988,Seoul,Hockey,Hockey Women's Hockey,Bronze
Pepijn Aardewijn,Netherlands,NED,Summer,1996,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,Silver
Ann Kristin Aarnes,Norway,NOR,Summer,1996,Atlanta,Football,Football Women's Football,Bronze
Karl Jan Aas,Norway,NOR,Summer,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Silver
Thomas Valentin Aas,Taifun,NOR,Summer,1912,Stockholm,Sailing,Sailing Mixed 8 metres,Gold
Ren Abadie,France,FRA,Summer,1956,Melbourne,Cycling,"Cycling Men's Road Race, Team",Gold
Giovanni Abagnale,Italy,ITA,Summer,2016,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
Jos Luis Abajo Gmez,Spain,ESP,Summer,2008,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze
Patimat Abakarova,Azerbaijan,AZE,Summer,2016,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
Mariya Vasilyevna Abakumova (-Tarabina),Russia,RUS,Summer,2008,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
Aleksey Aleksandrovich Abalmasov,Belarus,BLR,Summer,2008,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Luc Abalo,France,FRA,Summer,2008,Beijing,Handball,Handball Men's Handball,Gold
Luc Abalo,France,FRA,Summer,2012,London,Handball,Handball Men's Handball,Gold
Luc Abalo,France,FRA,Summer,2016,Rio de Janeiro,Handball,Handball Men's Handball,Silver
Jouan Patrice Abanda Etong,Cameroon,CMR,Summer,2000,Sydney,Football,Football Men's Football,Gold
Jos Mara Abarca Plotas,Spain,ESP,Summer,1996,Atlanta,Water Polo,Water Polo Men's Water Polo,Gold
Stephen Anthony Abas,United States,USA,Summer,2004,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
Alejandro Abascal Garca,Spain,ESP,Summer,1980,Moskva,Sailing,Sailing Mixed Two Person Heavyweight Dinghy,Gold
Jos Manuel Abascal Gmez,Spain,ESP,Summer,1984,Los Angeles,Athletics,"Athletics Men's 1,500 metres",Bronze
Tamila Rashidovna Abasova,Russia,RUS,Summer,2004,Athina,Cycling,Cycling Women's Sprint,Silver
Jol Marc Abati,France,FRA,Summer,2008,Beijing,Handball,Handball Men's Handball,Gold
Pter Abay,Hungary,HUN,Summer,1992,Barcelona,Fencing,"Fencing Men's Sabre, Team",Silver
Oszkr Abay-Nemes,Hungary,HUN,Summer,1936,Berlin,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
Silvano Abba,Italy,ITA,Summer,1936,Berlin,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
Agostino Abbagnale,Italy,ITA,Summer,1988,Seoul,Rowing,Rowing Men's Quadruple Sculls,Gold
Agostino Abbagnale,Italy,ITA,Summer,1996,Atlanta,Rowing,Rowing Men's Double Sculls,Gold
Agostino Abbagnale,Italy,ITA,Summer,2000,Sydney,Rowing,Rowing Men's Quadruple Sculls,Gold
Carmine Abbagnale,Italy,ITA,Summer,1984,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
Carmine Abbagnale,Italy,ITA,Summer,1988,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
Carmine Abbagnale,Italy,ITA,Summer,1992,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
Giuseppe Abbagnale,Italy,ITA,Summer,1984,Los Angeles,Rowing,Rowing Men's Coxed Pairs,Gold
Giuseppe Abbagnale,Italy,ITA,Summer,1988,Seoul,Rowing,Rowing Men's Coxed Pairs,Gold
Giuseppe Abbagnale,Italy,ITA,Summer,1992,Barcelona,Rowing,Rowing Men's Coxed Pairs,Silver
"George ""Ioannis"" Abbot",Thessalonki-1,GRE,Summer,1906,Athina,Football,Football Men's Football,Bronze
"Desmond ""Des"" Abbott",Australia,AUS,Summer,2008,Beijing,Hockey,Hockey Men's Hockey,Bronze
Margaret Ives Abbott (-Dunne),United States,USA,Summer,1900,Paris,Golf,Golf Women's Individual,Gold
Monica Cecilia Abbott,United States,USA,Summer,2008,Beijing,Softball,Softball Women's Softball,Silver
Nia Nicole Abdallah,United States,USA,Summer,2004,Athina,Taekwondo,Taekwondo Women's Featherweight,Silver
Saeid Morad Abdevali,Iran,IRI,Summer,2016,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
Reema Abdo,Canada,CAN,Summer,1984,Los Angeles,Swimming,Swimming Women's 4 x 100 metres Medley Relay,Bronze
Lala Abdul Rashid,Pakistan,PAK,Summer,1960,Roma,Hockey,Hockey Men's Hockey,Gold
Muhammad Abdul Rashid,Pakistan,PAK,Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,Silver
Zagalav Abdulbekovich Abdulbekov,Soviet Union,URS,Summer,1972,Munich,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Mukhammad Kadyr Abdullayev,Uzbekistan,UZB,Summer,2000,Sydney,Boxing,Boxing Men's Light-Welterweight,Gold
Namiq Yadulla Abdullayev,Azerbaijan,AZE,Summer,1996,Atlanta,Wrestling,"Wrestling Men's Flyweight, Freestyle",Silver
Namiq Yadulla Abdullayev,Azerbaijan,AZE,Summer,2000,Sydney,Wrestling,"Wrestling Men's Bantamweight, Freestyle",Gold
Julius Shareef Abdur-Rahim,United States,USA,Summer,2000,Sydney,Basketball,Basketball Men's Basketball,Gold
Yusup Abdusalomov,Tajikistan,TJK,Summer,2008,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
Andrey Khakimovich Abduvaliyev,Unified Team,EUN,Summer,1992,Barcelona,Athletics,Athletics Men's Hammer Throw,Gold
Addis Abebe,Ethiopia,ETH,Summer,1992,Barcelona,Athletics,"Athletics Men's 10,000 metres",Bronze
"Max ""Xam"" Abegglen",Switzerland,SUI,Summer,1924,Paris,Football,Football Men's Football,Silver
Irene Abel,East Germany,GDR,Summer,1972,Munich,Gymnastics,Gymnastics Women's Team All-Around,Silver
Jennifer Abel,Canada,CAN,Summer,2012,London,Diving,Diving Women's Synchronized Springboard,Bronze
Egil Sten Abel,Fornebo,NOR,Summer,1920,Antwerpen,Sailing,Sailing Mixed 7 metres,Silver
Abelardo Fernndez Antua,Spain,ESP,Summer,1992,Barcelona,Football,Football Men's Football,Gold
"Louis Grenville ""Lou"" Abell",Vesper Boat Club,USA,Summer,1900,Paris,Rowing,Rowing Men's Coxed Eights,Gold
"Louis Grenville ""Lou"" Abell",Vesper Boat Club,USA,Summer,1904,St. Louis,Rowing,Rowing Men's Coxed Eights,Gold
Gezahgne Abera,Ethiopia,ETH,Summer,2000,Sydney,Athletics,Athletics Men's Marathon,Gold
Nils Georg berg,Sweden,SWE,Summer,1912,Stockholm,Athletics,Athletics Men's Long Jump,Bronze
Nils Georg berg,Sweden,SWE,Summer,1912,Stockholm,Athletics,Athletics Men's Triple Jump,Silver
Michael Brent Abernathy,United States,USA,Summer,2000,Sydney,Baseball,Baseball Men's Baseball,Gold
Moira Abernethy (-Ford),South Africa,RSA,Summer,1956,Melbourne,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Elvan Abeylegesse,Turkey,TUR,Summer,2008,Beijing,Athletics,"Athletics Women's 5,000 metres",Silver
Ismail Abilov (-Nizamolu),Bulgaria,BUL,Summer,1980,Moskva,Wrestling,"Wrestling Men's Middleweight, Freestyle",Gold
"Edgar Allen ""Ed"" Ablowich",United States,USA,Summer,1932,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,Gold
Denis Mikhaylovich Ablyazin,Russia,RUS,Summer,2012,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
Denis Mikhaylovich Ablyazin,Russia,RUS,Summer,2012,London,Gymnastics,Gymnastics Men's Horse Vault,Silver
Denis Mikhaylovich Ablyazin,Russia,RUS,Summer,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
Denis Mikhaylovich Ablyazin,Russia,RUS,Summer,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver
Denis Mikhaylovich Ablyazin,Russia,RUS,Summer,2016,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze
Viktor Andreyevich Aboimov,Soviet Union,URS,Summer,1972,Munich,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Viktor Andreyevich Aboimov,Soviet Union,URS,Summer,1972,Munich,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Bronze
"Matthew ""Matt"" Abood",Australia,AUS,Summer,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
Alaaeldin Ahmad El-Sayyid Abouelkassem,Egypt,EGY,Summer,2012,London,Fencing,"Fencing Men's Foil, Individual",Silver
Attila brahm,Hungary,HUN,Summer,1988,Seoul,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",Bronze
Attila brahm,Hungary,HUN,Summer,1988,Seoul,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
Attila brahm,Hungary,HUN,Summer,1992,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Gary Abraham,Great Britain,GBR,Summer,1980,Moskva,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Bronze
Ara Abrahamian,Sweden,SWE,Summer,2004,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
Harold Maurice Abrahams,Great Britain,GBR,Summer,1924,Paris,Athletics,Athletics Men's 100 metres,Gold
Harold Maurice Abrahams,Great Britain,GBR,Summer,1924,Paris,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Isak Abrahamsen,Norway,NOR,Summer,1912,Stockholm,Gymnastics,"Gymnastics Men's Team All-Around, Free System",Gold
Erik Adolf Efraim Abrahamsson,Sweden,SWE,Summer,1920,Antwerpen,Athletics,Athletics Men's Long Jump,Bronze
Pavel Sergeyevich Abramov,Russia,RUS,Summer,2004,Athina,Volleyball,Volleyball Men's Volleyball,Bronze
Nelli Mikhaylovna Abramova,Soviet Union,URS,Summer,1964,Tokyo,Volleyball,Volleyball Women's Volleyball,Silver
"Alejandro ""lex"" Abrines Redondo",Spain,ESP,Summer,2016,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze
Svetlana Olegovna Abrosimova,Russia,RUS,Summer,2008,Beijing,Basketball,Basketball Women's Basketball,Bronze
Saypulla Atavovich Absaidov,Soviet Union,URS,Summer,1980,Moskva,Wrestling,"Wrestling Men's Lightweight, Freestyle",Gold
Julien Absalon,France,FRA,Summer,2004,Athina,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Julien Absalon,France,FRA,Summer,2008,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
Ahmad Abughaush,Jordan,JOR,Summer,2016,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Gold
Ginko Abukawa-Chiba,Japan,JPN,Summer,1964,Tokyo,Gymnastics,Gymnastics Women's Team All-Around,Bronze
Aleksandr Veniaminovich Abushakhmetov,Soviet Union,URS,Summer,1980,Moskva,Fencing,"Fencing Men's epee, Team",Bronze
Magomedgasan Mingazhutdinovich Abushev,Soviet Union,URS,Summer,1980,Moskva,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Andreea Roxana Acatrinei,Romania,ROU,Summer,2008,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Bronze
William Accambray,France,FRA,Summer,2012,London,Handball,Handball Men's Handball,Gold
Domingo Gmez-Acedo Villanueva,Spain,ESP,Summer,1920,Antwerpen,Football,Football Men's Football,Silver
Anibl Santiago Acevedo,Puerto Rico,PUR,Summer,1992,Barcelona,Boxing,Boxing Men's Welterweight,Bronze
Daniel Aceves Villagrn,Mexico,MEX,Summer,1984,Los Angeles,Wrestling,"Wrestling Men's Flyweight, Greco-Roman",Silver
Joachim Yaw Acheampong,Ghana,GHA,Summer,1992,Barcelona,Football,Football Men's Football,Bronze
Alfred Achermann,Switzerland,SUI,Summer,1984,Los Angeles,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
Abdel Hak Achik,Morocco,MAR,Summer,1988,Seoul,Boxing,Boxing Men's Featherweight,Bronze
Mohamed Abdelhak Achik,Morocco,MAR,Summer,1992,Barcelona,Boxing,Boxing Men's Bantamweight,Bronze
Chantal Achterberg,Netherlands,NED,Summer,2012,London,Rowing,Rowing Women's Coxed Eights,Bronze
Chantal Achterberg,Netherlands,NED,Summer,2016,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver
Fausto Alesio Acke (Padovini-),Sweden,SWE,Summer,1920,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Swedish System",Gold
Paul Douglas Ackerley,New Zealand,NZL,Summer,1976,Montreal,Hockey,Hockey Men's Hockey,Gold
"Charles Edwin ""Charley"" Ackerly",United States,USA,Summer,1920,Antwerpen,Wrestling,"Wrestling Men's Featherweight, Freestyle",Gold
Lautaro Germn Acosta,Argentina,ARG,Summer,2008,Beijing,Football,Football Men's Football,Gold
Osmay Acosta Duarte,Cuba,CUB,Summer,2008,Beijing,Boxing,Boxing Men's Heavyweight,Bronze
Martn Ral Acosta y Lara Daz,Uruguay,URU,Summer,1952,Helsinki,Basketball,Basketball Men's Basketball,Bronze
Kazimierz Piotr Adach,Poland,POL,Summer,1980,Moskva,Boxing,Boxing Men's Lightweight,Bronze
"Gordon Belgum ""Gordy"" Adam",United States,USA,Summer,1936,Berlin,Rowing,Rowing Men's Coxed Eights,Gold
Ji Adam,Czechoslovakia,TCH,Summer,1976,Montreal,Modern Pentathlon,Modern Pentathlon Men's Team,Silver
Otto Adam,Germany,GER,Summer,1936,Berlin,Fencing,"Fencing Men's Foil, Team",Bronze
Pierre Louis Eugne Adam,France,FRA,Summer,1948,London,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",Gold
Dariusz Adamczuk,Poland,POL,Summer,1992,Barcelona,Football,Football Men's Football,Silver
"Benjamin Willard ""Ben"" Adams",United States,USA,Summer,1912,Stockholm,Athletics,Athletics Men's Standing High Jump,Silver
"Benjamin Willard ""Ben"" Adams",United States,USA,Summer,1912,Stockholm,Athletics,Athletics Men's Standing Long Jump,Bronze
Edgar Holmes Adams,United States,USA,Summer,1904,St. Louis,Swimming,Swimming Men's Plunge For Distance,Silver
Harry Lester Adams,United States,USA,Summer,1912,Stockholm,Shooting,"Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",Gold
Adrian Neil Adams,Great Britain,GBR,Summer,1980,Moskva,Judo,Judo Men's Lightweight,Silver
Adrian Neil Adams,Great Britain,GBR,Summer,1984,Los Angeles,Judo,Judo Men's Half-Middleweight,Silver
Nicola Virginia Adams,Great Britain,GBR,Summer,2012,London,Boxing,Boxing Women's Flyweight,Gold
Nicola Virginia Adams,Great Britain,GBR,Summer,2016,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Gold
Platt Adams,United States,USA,Summer,1912,Stockholm,Athletics,Athletics Men's Standing High Jump,Gold
Platt Adams,United States,USA,Summer,1912,Stockholm,Athletics,Athletics Men's Standing Long Jump,Silver
Rachael Alexis Adams,United States,USA,Summer,2016,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
Valerie Kasanita Adams-Vili (-Price),New Zealand,NZL,Summer,2008,Beijing,Athletics,Athletics Women's Shot Put,Gold
Valerie Kasanita Adams-Vili (-Price),New Zealand,NZL,Summer,2012,London,Athletics,Athletics Women's Shot Put,Gold
Valerie Kasanita Adams-Vili (-Price),New Zealand,NZL,Summer,2016,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Silver
Filip Kamil Adamski,Germany,GER,Summer,2012,London,Rowing,Rowing Men's Coxed Eights,Gold
Herbert Adamski,Germany,GER,Summer,1936,Berlin,Rowing,Rowing Men's Coxed Pairs,Gold
Jerzy Adamski,Poland,POL,Summer,1960,Roma,Boxing,Boxing Men's Featherweight,Silver
Simon Addo,Ghana,GHA,Summer,1992,Barcelona,Football,Football Men's Football,Bronze
Eugene Addor,Switzerland,SUI,Summer,1920,Antwerpen,Shooting,"Shooting Men's Military Rifle, 300 metres and 600 metres, Prone, Team",Bronze
Olubayo Adefemi,Nigeria,NGR,Summer,2008,Beijing,Football,Football Men's Football,Silver
"Ayodele ""Dele"" Adeleye",Nigeria,NGR,Summer,2008,Beijing,Football,Football Men's Football,Silver
Ademir Roque Kaefer,Brazil,BRA,Summer,1984,Los Angeles,Football,Football Men's Football,Silver
Ademir Roque Kaefer,Brazil,BRA,Summer,1988,Seoul,Football,Football Men's Football,Silver
Olapade Charles Adeniken,Nigeria,NGR,Summer,1992,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Silver
Adenzia Aparecida Ferreira da Silva,Brazil,BRA,Summer,2012,London,Volleyball,Volleyball Women's Volleyball,Gold
Franck Adisson,France-1,FRA,Summer,1992,Barcelona,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Bronze
Franck Adisson,France-1,FRA,Summer,1996,Atlanta,Canoeing,"Canoeing Men's Canadian Doubles, Slalom",Gold
Sammi Adjei,Ghana,GHA,Summer,1992,Barcelona,Football,Football Men's Football,Bronze
"Charles ""Chuck"" Adkins",United States,USA,Summer,1952,Helsinki,Boxing,Boxing Men's Light-Welterweight,Gold
Derrick Ralph Adkins,United States,USA,Summer,1996,Atlanta,Athletics,Athletics Men's 400 metres Hurdles,Gold
"Robert Edward ""Bob"" Adlard",Great Britain,GBR,Summer,1948,London,Hockey,Hockey Men's Hockey,Silver
Daniel Adler,Brazil,BRA,Summer,1984,Los Angeles,Sailing,Sailing Mixed Three Person Keelboat,Silver
Egon Adler,Germany,GER,Summer,1960,Roma,Cycling,Cycling Men's 100 kilometres Team Time Trial,Silver
"Margarete ""Grete"" Adler",Austria,AUT,Summer,1912,Stockholm,Swimming,Swimming Women's 4 x 100 metres Freestyle Relay,Bronze
Gregor Nils Henric Adlercreutz,Sweden,SWE,Summer,1936,Berlin,Equestrianism,"Equestrianism Men's Dressage, Team",Bronze
Nils August Domingo Adlercreutz,Sweden,SWE,Summer,1912,Stockholm,Equestrianism,"Equestrianism Men's Three-Day Event, Team",Gold
Anna Mrtha Vilhelmina Adlerstrhle (von Oelreich-),Sweden,SWE,Summer,1908,London,Tennis,"Tennis Women's Singles, Covered Courts",Bronze
Erik William Adlerz,Sweden,SWE,Summer,1912,Stockholm,Diving,Diving Men's Platform,Gold
Erik William Adlerz,Sweden,SWE,Summer,1912,Stockholm,Diving,Diving Men's Plain High,Gold
Erik William Adlerz,Sweden,SWE,Summer,1920,Antwerpen,Diving,Diving Men's Platform,Silver
"Rebecca ""Becky"" Adlington",Great Britain,GBR,Summer,2008,Beijing,Swimming,Swimming Women's 400 metres Freestyle,Gold
"Rebecca ""Becky"" Adlington",Great Britain,GBR,Summer,2008,Beijing,Swimming,Swimming Women's 800 metres Freestyle,Gold
"Rebecca ""Becky"" Adlington",Great Britain,GBR,Summer,2012,London,Swimming,Swimming Women's 400 metres Freestyle,Bronze
"Rebecca ""Becky"" Adlington",Great Britain,GBR,Summer,2012,London,Swimming,Swimming Women's 800 metres Freestyle,Bronze
Dainius Adomaitis,Lithuania,LTU,Summer,2000,Sydney,Basketball,Basketball Men's Basketball,Bronze
Nathan Ghar-Jun Adrian,United States,USA,Summer,2008,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Nathan Ghar-Jun Adrian,United States,USA,Summer,2012,London,Swimming,Swimming Men's 100 metres Freestyle,Gold
Nathan Ghar-Jun Adrian,United States,USA,Summer,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
Nathan Ghar-Jun Adrian,United States,USA,Summer,2012,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Nathan Ghar-Jun Adrian,United States,USA,Summer,2016,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,Bronze
Nathan Ghar-Jun Adrian,United States,USA,Summer,2016,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,Bronze
Nathan Ghar-Jun Adrian,United States,USA,Summer,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Nathan Ghar-Jun Adrian,United States,USA,Summer,2016,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
Adriana Aparecida dos Santos,Brazil,BRA,Summer,1996,Atlanta,Basketball,Basketball Women's Basketball,Silver
Adriana Aparecida dos Santos,Brazil,BRA,Summer,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
"Adriana ""Adrianinha"" Moiss Pinto",Brazil,BRA,Summer,2000,Sydney,Basketball,Basketball Women's Basketball,Bronze
Attila Adrovicz,Hungary,HUN,Summer,1996,Atlanta,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Silver
Klaus Aeffke,Germany,GER,Summer,1964,Tokyo,Rowing,Rowing Men's Coxed Eights,Silver
Kseniya Dmitriyevna Afanasyeva,Russia,RUS,Summer,2012,London,Gymnastics,Gymnastics Women's Team All-Around,Silver
"Olabisi ""Bisi"" Afolabi",Nigeria,NGR,Summer,1996,Atlanta,Athletics,Athletics Women's 4 x 400 metres Relay,Silver
Felicia Afrsiloaie (-Jitianu),Romania,ROU,Summer,1976,Montreal,Rowing,Rowing Women's Coxed Quadruple Sculls,Bronze
Cecil Sebastian Afrika,South Africa,RSA,Summer,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
Muhammad Afzal Manna,Pakistan,PAK,Summer,1964,Tokyo,Hockey,Hockey Men's Hockey,Silver
"Timothy Ernest Victor Kwizera ""Tim"" Agaba",South Africa,RSA,Summer,2016,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
Lavinia Agache (-Carney),Romania,ROU,Summer,1984,Los Angeles,Gymnastics,Gymnastics Women's Team All-Around,Gold
Lavinia Agache (-Carney),Romania,ROU,Summer,1984,Los Angeles,Gymnastics,Gymnastics Women's Horse Vault,Bronze
Luca Agamennoni,Italy,ITA,Summer,2004,Athina,Rowing,Rowing Men's Coxless Fours,Bronze
Luca Agamennoni,Italy,ITA,Summer,2008,Beijing,Rowing,Rowing Men's Quadruple Sculls,Silver
Andre Kirk Agassi,United States,USA,Summer,1996,Atlanta,Tennis,Tennis Men's Singles,Gold
Clarisse Agbegnenou,France,FRA,Summer,2016,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,Silver
Henrik Agersborg,Stella-2,NOR,Summer,1920,Antwerpen,Sailing,Sailing Mixed 6 metres,Bronze
Viktor Ivanovich Ageyev,Soviet Union,URS,Summer,1956,Melbourne,Water Polo,Water Polo Men's Water Polo,Bronze
Viktor Ivanovich Ageyev,Soviet Union,URS,Summer,1960,Roma,Water Polo,Water Polo Men's Water Polo,Silver
Viktor Ivanovich Ageyev,Soviet Union,URS,Summer,1964,Tokyo,Water Polo,Water Polo Men's Water Polo,Bronze
Marilyn Agliotti,Netherlands,NED,Summer,2008,Beijing,Hockey,Hockey Women's Hockey,Gold
Marilyn Agliotti,Netherlands,NED,Summer,2012,London,Hockey,Hockey Women's Hockey,Gold
Yannick Agnel,France,FRA,Summer,2012,London,Swimming,Swimming Men's 200 metres Freestyle,Gold
Yannick Agnel,France,FRA,Summer,2012,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
Yannick Agnel,France,FRA,Summer,2012,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
Judit goston-Mendelnyi,Hungary,HUN,Summer,1964,Tokyo,Fencing,"Fencing Women's Foil, Team",Gold
Carlo Agostoni Faini,Italy,ITA,Summer,1928,Amsterdam,Fencing,"Fencing Men's epee, Team",Gold
Carlo Agostoni Faini,Italy,ITA,Summer,1932,Los Angeles,Fencing,"Fencing Men's epee, Individual",Bronze
Carlo Agostoni Faini,Italy,ITA,Summer,1932,Los Angeles,Fencing,"Fencing Men's epee, Team",Silver
Carlo Agostoni Faini,Italy,ITA,Summer,1948,London,Fencing,"Fencing Men's epee, Team",Silver
Erik Alfred gren,Sweden,SWE,Summer,1936,Berlin,Boxing,Boxing Men's Lightweight,Bronze
Ioannis Agrimis,"Large boat, Central Naval Prep School ""Poros""-1",GRE,Summer,1906,Athina,Rowing,Rowing Men's 17-Man Naval Rowing Boats,Gold
"Estella ""Stella"" Agsteribbe (-Blits)",Netherlands,NED,Summer,1928,Amsterdam,Gymnastics,Gymnastics Women's Team All-Around,Gold
Sergio Leonel Agero del Castillo,Argentina,ARG,Summer,2008,Beijing,Football,Football Men's Football,Gold
"Taismary ""Tai"" Agero Leiva (-Botteghi)",Cuba,CUB,Summer,2000,Sydney,Volleyball,Volleyball Women's Volleyball,Gold
Jos Aguilar Pulsn,Cuba,CUB,Summer,1980,Moskva,Boxing,Boxing Men's Light-Welterweight,Bronze
Macarena Aguilar Daz,Spain,ESP,Summer,2012,London,Handball,Handball Women's Handball,Bronze
Sandra Aguilar Navarro,Spain,ESP,Summer,2016,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
Jorge Luis Aguilera Ruiz,Cuba,CUB,Summer,1992,Barcelona,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
Sri Wahyuni Agustiani,Indonesia,INA,Summer,2016,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,Silver
Robyn Mokihana Ah Mow-Santos,United States,USA,Summer,2008,Beijing,Volleyball,Volleyball Women's Volleyball,Silver
"Timothy Joseph ""Tim"" Ahearne",Great Britain,GBR,Summer,1908,London,Athletics,Athletics Men's Triple Jump,Gold
Bruno Valfrid Ahlberg,Finland,FIN,Summer,1932,Los Angeles,Boxing,Boxing Men's Welterweight,Bronze
Anselm Ahlfors,Finland,FIN,Summer,1924,Paris,Wrestling,"Wrestling Men's Bantamweight, Greco-Roman",Silver
Anders Oscar Ahlgren,Sweden,SWE,Summer,1912,Stockholm,Wrestling,"Wrestling Men's Middleweight B, Greco-Roman",Silver
George Lewis Ahlgren,United States,USA,Summer,1948,London,Rowing,Rowing Men's Coxed Eights,Gold
Christian Ahlmann,Germany,GER,Summer,2004,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
Christian Ahlmann,Germany,GER,Summer,2016,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
