Athlete,Country,NOC,Season,Year,City,Sport,Event,Medal,Category
Mary Terstegge Meagher (-Plant),United States,USA,Summer,1984,Los Angeles,Swimming,4X100M Medley Relay,Gold,Women
Mary Terstegge Meagher (-Plant),United States,USA,Summer,1988,Seoul,Swimming,200M Butterfly,Bronze,Women
Mary Terstegge Meagher (-Plant),United States,USA,Summer,1988,Seoul,Swimming,4X100M Medley Relay,Silver,Women
"Philomena Alecia ""Bonnie"" Mealing (-Johnston)",Australia,AUS,Summer,1932,Los Angeles,Swimming,100M Backstroke,Silver,Women
Jack Chapman Medica,United States,USA,Summer,1936,Berlin,Swimming,400M Freestyle,Gold,Men
Jack Chapman Medica,United States,USA,Summer,1936,Berlin,Swimming,1500M Freestyle,Silver,Men
Jack Chapman Medica,United States,USA,Summer,1936,Berlin,Swimming,4X200M Freestyle Relay,Silver,Men
Folkert Meeuw,West Germany,FRG,Summer,1972,Munich,Swimming,4X200M Freestyle Relay,Silver,Men
Helge Folkert Meeuw,Germany,GER,Summer,2004,Athina,Swimming,4X100M Medley Relay,Silver,Men
"Catherine Michelle ""Katie"" Meili",United States,USA,Summer,2016,Rio De Janeiro,Swimming,100M Breaststroke,Bronze,Women
"Catherine Michelle ""Katie"" Meili",United States,USA,Summer,2016,Rio De Janeiro,Swimming,4X100M Medley Relay,Gold,Women
Rta Meilutyt,Lithuania,LTU,Summer,2012,London,Swimming,100M Breaststroke,Gold,Women
Katrin Meiner,East Germany,GDR,Summer,1988,Seoul,Swimming,50M Freestyle,Bronze,Women
Katrin Meiner,East Germany,GDR,Summer,1988,Seoul,Swimming,4X100M Freestyle Relay,Gold,Women
Katrin Meiner,East Germany,GDR,Summer,1988,Seoul,Swimming,4X100M Medley Relay,Gold,Women
"Judith Ellen ""Judy"" Melick",United States,USA,Summer,1972,Munich,Swimming,4X100M Medley Relay,Gold,Women
"Loraine ""Lori"" Melien",Canada,CAN,Summer,1988,Seoul,Swimming,4X100M Medley Relay,Bronze,Women
Oussama Mellouli,Tunisia,TUN,Summer,2008,Beijing,Swimming,1500M Freestyle,Gold,Men
Oussama Mellouli,Tunisia,TUN,Summer,2012,London,Swimming,1500M Freestyle,Bronze,Men
Oussama Mellouli,Tunisia,TUN,Summer,2012,London,Swimming,10Km Open Water,Gold,Men
Wieger Emile Mensonides,Netherlands,NED,Summer,1960,Roma,Swimming,200M Breaststroke,Bronze,Men
Dsir Alfred Mrchez,Pupilles De Neptune De Lille,FRA,Summer,1900,Paris,Swimming,200M Team,Bronze,Men
Emanuele Erminio Merisi,Italy,ITA,Summer,1996,Atlanta,Swimming,200M Backstroke,Bronze,Men
Nataliya Alekseyevna Meshcheryakova,Unified Team,EUN,Summer,1992,Barcelona,Swimming,4X100M Medley Relay,Bronze,Women
Malia Metella,France,FRA,Summer,2004,Athina,Swimming,50M Freestyle,Silver,Women
Mehdy Metella,France,FRA,Summer,2016,Rio De Janeiro,Swimming,4X100M Freestyle Relay,Silver,Men
Caren Metschuck (-Mahn),East Germany,GDR,Summer,1980,Moskva,Swimming,100M Freestyle,Silver,Women
Caren Metschuck (-Mahn),East Germany,GDR,Summer,1980,Moskva,Swimming,4X100M Freestyle Relay,Gold,Women
Caren Metschuck (-Mahn),East Germany,GDR,Summer,1980,Moskva,Swimming,100M Butterfly,Gold,Women
Caren Metschuck (-Mahn),East Germany,GDR,Summer,1980,Moskva,Swimming,4X100M Medley Relay,Gold,Women
"William Roy ""Bill"" Mettler, Jr.",United States,USA,Summer,1964,Tokyo,Swimming,4X200M Freestyle Relay,Gold,Men
"Maxwell Raymond ""Max"" Metzker",Australia,AUS,Summer,1980,Moskva,Swimming,1500M Freestyle,Bronze,Men
"Deborah Elizabeth ""Debbie"" Meyer (-Weber)",United States,USA,Summer,1968,Mexico City,Swimming,200M Freestyle,Gold,Women
"Deborah Elizabeth ""Debbie"" Meyer (-Weber)",United States,USA,Summer,1968,Mexico City,Swimming,400M Freestyle,Gold,Women
"Deborah Elizabeth ""Debbie"" Meyer (-Weber)",United States,USA,Summer,1968,Mexico City,Swimming,800M Freestyle,Gold,Women
William Meynard,France,FRA,Summer,2016,Rio De Janeiro,Swimming,4X100M Freestyle Relay,Silver,Men
Clment Mignon,France,FRA,Summer,2016,Rio De Janeiro,Swimming,4X100M Freestyle Relay,Silver,Men
Vladimir Borisovich Mikheyev,Soviet Union,URS,Summer,1976,Montreal,Swimming,4X200M Freestyle Relay,Silver,Men
Klara Milch (-Durst),Austria,AUT,Summer,1912,Stockholm,Swimming,4X100M Freestyle Relay,Bronze,Women
Cody Miller,United States,USA,Summer,2016,Rio De Janeiro,Swimming,100M Breaststroke,Bronze,Men
Cody Miller,United States,USA,Summer,2016,Rio De Janeiro,Swimming,4X100M Medley Relay,Gold,Men
Scott Andrew Miller,Australia,AUS,Summer,1996,Atlanta,Swimming,100M Butterfly,Silver,Men
Scott Andrew Miller,Australia,AUS,Summer,1996,Atlanta,Swimming,4X100M Medley Relay,Bronze,Men
Alice Mary Mills (-Tait),Australia,AUS,Summer,2004,Athina,Swimming,4X100M Freestyle Relay,Gold,Women
